type,title,description,source,uniquelink,rank,scrapeid,timestamp
Top Trends,Alec Ogletree,"Rams trade LB Ogletree to Giants, source says",espn.com,https://www.facebook.com/topic/Alec-Ogletree/185002348186794?source=whfrt&position=2&trqid=6530330941643760411&impressionguid=0197ouRpiVyQOYZwO,2,0,Wed Mar  7 16:26:53 2018
Top Trends,Amazon Alexa,Alexa’s creepy laughter has Amazon Echo users puzzled,today.com,https://www.facebook.com/topic/Amazon-Alexa/1719226691708715?source=whfrt&position=3&trqid=6530330941643760411&impressionguid=0197ouRpiVyQOYZwO,3,0,Wed Mar  7 16:26:53 2018
Top Trends,Oculus Rift,All of Oculus’s Rift headsets have stopped working due to an…,social.techcrunch.com,https://www.facebook.com/topic/Oculus-Rift/459498734070355?source=whrt&position=4&trqid=6530332899998809154&impressionguid=0197ouRpiVyQOYZwO,4,0,Wed Mar  7 16:26:53 2018
Top Trends,United States Department of Justice,U.S. Justice Dept sues California over 'sanctuary' policies,msn.com,https://www.facebook.com/topic/United-States-Department-of-Justice/105519439480454?source=whrt&position=5&trqid=6530332899998809154&impressionguid=0197ouRpiVyQOYZwO,5,0,Wed Mar  7 16:26:53 2018
Top Trends,Snap Inc.,Snap is reportedly laying off around 100 employees,social.techcrunch.com,https://www.facebook.com/topic/Snap-Inc/1102754613142562?source=whrt&position=6&trqid=6530332899998809154&impressionguid=0197ouRpiVyQOYZwO,6,0,Wed Mar  7 16:26:53 2018
Top Trends,Daylight Saving Time,Florida lawmakers vote to stay in Daylight Saving Time all year long,cnn.com,https://www.facebook.com/topic/Daylight-Saving-Time/110732138950290?source=whrt&position=7&trqid=6530332899998809154&impressionguid=0197ouRpiVyQOYZwO,7,0,Wed Mar  7 16:26:53 2018
Top Trends,Betsy DeVos,"Betsy DeVos visits Parkland school, angers shooting survivors",msn.com,https://www.facebook.com/topic/Betsy-DeVos/103120616394557?source=whrt&position=8&trqid=6530332899998809154&impressionguid=0197ouRpiVyQOYZwO,8,0,Wed Mar  7 16:26:53 2018
Top Trends,Knesset,Israel passes law to strip residency of Jerusalem's Palestinians,aljazeera.com,https://www.facebook.com/topic/Knesset/218813208140815?source=whrt&position=9&trqid=6530332899998809154&impressionguid=0197ouRpiVyQOYZwO,9,0,Wed Mar  7 16:26:53 2018
Top Trends,Britain First,Britain First bosses jailed for hate crime,bbc.com,https://www.facebook.com/topic/Britain-First/953346588092776?source=whrt&position=10&trqid=6530332899998809154&impressionguid=0197ouRpiVyQOYZwO,10,0,Wed Mar  7 16:26:53 2018
Politics,United States Department of Justice,U.S. Justice Dept sues California over 'sanctuary' policies,msn.com,https://www.facebook.com/topic/United-States-Department-of-Justice/105519439480454?source=whfrt&position=1001&trqid=6530332891598175967&impressionguid=00zSKTCLeIBJejGFe,1,0,Wed Mar  7 16:26:55 2018
