Type,Title,Description,Source,Unique Link,Rank,Scrape Id,Timestamp
Top Trends,"Parkland, Florida",Accused Florida shooter was 'a monster living under our roof',indystar.com,https://www.facebook.com/topic/Parkland-Florida/115228851825532?source=whfrt&position=1&trqid=6524106613395496720&impressionguid=0vbcLw23HfIYep1xW,1,0,Sun Feb 18 21:45:45 2018
Top Trends,Daytona 500,Daytona 500 starting lineup,sbnation.com,https://www.facebook.com/topic/Daytona-500/106231196074269?source=whfrt&position=2&trqid=6524106613395496720&impressionguid=0vbcLw23HfIYep1xW,2,0,Sun Feb 18 21:45:45 2018
Top Trends,Stoneman Douglas High School Shooting,Florida students to march on Washington in call for gun reform,msn.com,https://www.facebook.com/topic/Stoneman-Douglas-High-School-Shooting/112670872080304?source=whfrt&position=3&trqid=6524106613395496720&impressionguid=0vbcLw23HfIYep1xW,3,0,Sun Feb 18 21:45:45 2018
Top Trends,Rick Gates,Gates agrees to testify against Manafort in Mueller probe: report,thehill.com,https://www.facebook.com/topic/Rick-Gates/103377626382267?source=whrt&position=4&trqid=6524106626423465902&impressionguid=0vbcLw23HfIYep1xW,4,0,Sun Feb 18 21:45:45 2018
Top Trends,Carnival Legend,23 passengers removed from cruise ship after brawls,cnn.com,https://www.facebook.com/topic/Carnival-Legend/141920532496424?source=whrt&position=5&trqid=6524106626423465902&impressionguid=0vbcLw23HfIYep1xW,5,0,Sun Feb 18 21:45:45 2018
Top Trends,Fifty Shades Freed,'Black Panther' screening accidentally plays 'Fifty Shades Freed'…,foxnews.com,https://www.facebook.com/topic/Fifty-Shades-Freed/995627867185045?source=whrt&position=6&trqid=6524106626423465902&impressionguid=0vbcLw23HfIYep1xW,6,0,Sun Feb 18 21:45:45 2018
Top Trends,Iran Aseman Airlines,"Commercial plane crashes in southern Iran, killing 66 people",msn.com,https://www.facebook.com/topic/Iran-Aseman-Airlines/111994085484764?source=whrt&position=7&trqid=6524106626423465902&impressionguid=0vbcLw23HfIYep1xW,7,0,Sun Feb 18 21:45:45 2018
Top Trends,Mateusz Morawiecki,Polish PM rebuked for Holocaust remark,msn.com,https://www.facebook.com/topic/Mateusz-Morawiecki/108447882512680?source=whrt&position=8&trqid=6524106626423465902&impressionguid=0vbcLw23HfIYep1xW,8,0,Sun Feb 18 21:45:45 2018
Top Trends,Justin Trudeau,Canadian PM Justin Trudeau visits Indian wildlife sanctuary with family,msn.com,https://www.facebook.com/topic/Justin-Trudeau/109346942417207?source=whrt&position=9&trqid=6524106626423465902&impressionguid=0vbcLw23HfIYep1xW,9,0,Sun Feb 18 21:45:45 2018
Top Trends,"Brookfield, Wisconsin",DNR confirms cougar seen in Brookfield,jsonline.com,https://www.facebook.com/topic/Brookfield-Wisconsin/109045775780383?source=whrt&position=10&trqid=6524106626423465902&impressionguid=0vbcLw23HfIYep1xW,10,0,Sun Feb 18 21:45:45 2018
Politics,Stoneman Douglas High School Shooting,Florida students to march on Washington in call for gun reform,msn.com,https://www.facebook.com/topic/Stoneman-Douglas-High-School-Shooting/112670872080304?source=whfrt&position=1001&trqid=6524106622221415201&impressionguid=0VnoolziQuV7Kchh5,1,0,Sun Feb 18 21:45:46 2018
Politics,Rick Gates,Gates agrees to testify against Manafort in Mueller probe: report,thehill.com,https://www.facebook.com/topic/Rick-Gates/103377626382267?source=whfrt&position=1002&trqid=6524106622221415201&impressionguid=0VnoolziQuV7Kchh5,2,0,Sun Feb 18 21:45:46 2018
Politics,Mateusz Morawiecki,Polish PM rebuked for Holocaust remark,msn.com,https://www.facebook.com/topic/Mateusz-Morawiecki/108447882512680?source=whfrt&position=1003&trqid=6524106622221415201&impressionguid=0VnoolziQuV7Kchh5,3,0,Sun Feb 18 21:45:46 2018
Politics,Justin Trudeau,Canadian PM Justin Trudeau visits Indian wildlife sanctuary with family,msn.com,https://www.facebook.com/topic/Justin-Trudeau/109346942417207?source=whfrt&position=1004&trqid=6524106622221415201&impressionguid=0VnoolziQuV7Kchh5,4,0,Sun Feb 18 21:45:46 2018
Politics,Viktor Orbán,Orbán claims Hungary is last bastion against 'Islamisation' of…,theguardian.com,https://www.facebook.com/topic/Viktor-Orb%C3%A1n/106502519386806?source=whfrt&position=1005&trqid=6524106622221415201&impressionguid=0VnoolziQuV7Kchh5,5,0,Sun Feb 18 21:45:46 2018
Politics,Theresa May,May: Student fees among 'world's most expensive',bbc.com,https://www.facebook.com/topic/Theresa-May/208753075801549?source=whfrt&position=1006&trqid=6524106622221415201&impressionguid=0VnoolziQuV7Kchh5,6,0,Sun Feb 18 21:45:46 2018
Politics,John F. Kelly,"Axios: Kelly, Secret Service agent scuffled with Chinese officials over…",thehill.com,https://www.facebook.com/topic/John-F-Kelly/112225322123710?source=whfrt&position=1007&trqid=6524106622221415201&impressionguid=0VnoolziQuV7Kchh5,7,0,Sun Feb 18 21:45:46 2018
Politics,Ilmārs Rimšēvičs,Latvian central bank boss detained,bbc.com,https://www.facebook.com/topic/Ilm%C4%81rs-Rim%C5%A1%C4%93vi%C4%8Ds/213232888689854?source=whfrt&position=1008&trqid=6524106622221415201&impressionguid=0VnoolziQuV7Kchh5,8,0,Sun Feb 18 21:45:46 2018
Politics,James Lankford,Sen. Lankford has 'no issue' with stronger gun background checks,msn.com,https://www.facebook.com/topic/James-Lankford/111020698928058?source=whfrt&position=1009&trqid=6524106622221415201&impressionguid=0VnoolziQuV7Kchh5,9,0,Sun Feb 18 21:45:46 2018
Politics,George Christensen,George Christensen reported to police over gun photo aimed at…,msn.com,https://www.facebook.com/topic/George-Christensen/114776845205424?source=whfrt&position=1010&trqid=6524106622221415201&impressionguid=0VnoolziQuV7Kchh5,10,0,Sun Feb 18 21:45:46 2018
Science and Technology,SpaceX,SpaceX delays its satellite internet launch to February 21st,engadget.com,https://www.facebook.com/topic/SpaceX/105652159469464?source=whfrt&position=3001&trqid=6524106622179925564&impressionguid=0nGnEWFEjiSreTDaR,1,0,Sun Feb 18 21:45:47 2018
Science and Technology,Juan Mata,FA Cup: Hawkeye apologises over wrong VAR image for Juan Mata 'goal',bbc.com,https://www.facebook.com/topic/Juan-Mata/1177503242365197?source=whfrt&position=3002&trqid=6524106622179925564&impressionguid=0nGnEWFEjiSreTDaR,2,0,Sun Feb 18 21:45:47 2018
Science and Technology,"Negev, Israel",Israeli scientists complete mock Mars mission in Negev desert,reuters.com,https://www.facebook.com/topic/Negev-Israel/105548569480059?source=whfrt&position=3003&trqid=6524106622179925564&impressionguid=0nGnEWFEjiSreTDaR,3,0,Sun Feb 18 21:45:47 2018
Science and Technology,Daimler AG,Software may have helped Daimler pass U.S. emissions tests: report,reuters.com,https://www.facebook.com/topic/Daimler-AG/135516579812057?source=whfrt&position=3004&trqid=6524106622179925564&impressionguid=0nGnEWFEjiSreTDaR,4,0,Sun Feb 18 21:45:47 2018
Science and Technology,Joel McHale,Joel McHale On Moving to Netflix After ‘The Soup’ and Being Asked…,variety.com,https://www.facebook.com/topic/Joel-McHale/108160135872697?source=whfrt&position=3005&trqid=6524106622179925564&impressionguid=0nGnEWFEjiSreTDaR,5,0,Sun Feb 18 21:45:47 2018
Science and Technology,University of Bergen,Exposure to cleaning products can affect lung health in…,ph.news.yahoo.com,https://www.facebook.com/topic/University-of-Bergen/109707592388639?source=whfrt&position=3006&trqid=6524106622179925564&impressionguid=0nGnEWFEjiSreTDaR,6,0,Sun Feb 18 21:45:47 2018
Science and Technology,University of Tokyo,Electronic skin can display a heartbeat on your hand,engadget.com,https://www.facebook.com/topic/University-of-Tokyo/111635605519869?source=whfrt&position=3007&trqid=6524106622179925564&impressionguid=0nGnEWFEjiSreTDaR,7,0,Sun Feb 18 21:45:47 2018
Sports,Daytona 500,Daytona 500 starting lineup,sbnation.com,https://www.facebook.com/topic/Daytona-500/106231196074269?source=whfrt&position=4001&trqid=6524106626342768149&impressionguid=0frMo9To0OOnHnYhX,1,0,Sun Feb 18 21:45:48 2018
Sports,Steve Davies,Rochdale 2 Tottenham 2: Davies denies Kane in FA Cup classic,msn.com,https://www.facebook.com/topic/Steve-Davies/108023932551149?source=whfrt&position=4002&trqid=6524106626342768149&impressionguid=0frMo9To0OOnHnYhX,2,0,Sun Feb 18 21:45:48 2018
