type,title,description,source,uniqueLink,rank,scrapeId,timestamp
Top Trends,Supreme Court of Pennsylvania,Pennsylvania Court Issues New Congressional Map,nbcphiladelphia.com,https://www.facebook.com/topic/Supreme-Court-of-Pennsylvania/139744832709829?source=whfrt&position=1&trqid=6524378469032608333&impressionguid=0ooMaisGy5KEMyJGo,1,0,Mon Feb 19 15:20:41 2018
Top Trends,Transavia,Farting Passenger Forces Plane To Make Emergency Landing,huffingtonpost.com,https://www.facebook.com/topic/Transavia/111131142247582?source=whfrt&position=2&trqid=6524378469032608333&impressionguid=0ooMaisGy5KEMyJGo,2,0,Mon Feb 19 15:20:41 2018
Top Trends,Donald Trump,Trump backs effort to improve gun background checks: White…,reuters.com,https://www.facebook.com/topic/Donald-Trump/143301122351927?source=whfrt&position=3&trqid=6524378469032608333&impressionguid=0ooMaisGy5KEMyJGo,3,0,Mon Feb 19 15:20:41 2018
Top Trends,Moscow Kremlin,Kremlin dismisses Mueller's indictment of 13 Russians,cnn.com,https://www.facebook.com/topic/Moscow-Kremlin/105493486152035?source=whrt&position=4&trqid=6524378477803871140&impressionguid=0ooMaisGy5KEMyJGo,4,0,Mon Feb 19 15:20:41 2018
Top Trends,Sylvester Stallone,"Sylvester Stallone death hoax causes actor, younger brother to…",foxnews.com,https://www.facebook.com/topic/Sylvester-Stallone/105891902775028?source=whrt&position=5&trqid=6524378477803871140&impressionguid=0ooMaisGy5KEMyJGo,5,0,Mon Feb 19 15:20:41 2018
Top Trends,"Parkland, Florida",Students take battle for gun control to streets,cnn.com,https://www.facebook.com/topic/Parkland-Florida/137935799569085?source=whrt&position=6&trqid=6524378477803871140&impressionguid=0ooMaisGy5KEMyJGo,6,0,Mon Feb 19 15:20:41 2018
Top Trends,Mar-a-Lago,Trump Reportedly Asked Pals At Mar a Lago What To Do On Gun…,yahoo.com,https://www.facebook.com/topic/Mar-a-Lago/111043798945761?source=whrt&position=7&trqid=6524378477803871140&impressionguid=0ooMaisGy5KEMyJGo,7,0,Mon Feb 19 15:20:41 2018
Top Trends,President's Day,Presidents Day Trivia: Facts About The 45 US Presidents,msn.com,https://www.facebook.com/topic/Presidents-Day/144162252265035?source=whrt&position=8&trqid=6524378477803871140&impressionguid=0ooMaisGy5KEMyJGo,8,0,Mon Feb 19 15:20:41 2018
Top Trends,KFC,Chicken chaos as KFC closes outlets,bbc.com,https://www.facebook.com/topic/KFC/103100953063447?source=whrt&position=9&trqid=6524378477803871140&impressionguid=0ooMaisGy5KEMyJGo,9,0,Mon Feb 19 15:20:41 2018
Top Trends,Court of Arbitration for Sport,Russian curler banished from Winter Olympics after failed drug test,msn.com,https://www.facebook.com/topic/Court-of-Arbitration-for-Sport/103143599740791?source=whrt&position=10&trqid=6524378477803871140&impressionguid=0ooMaisGy5KEMyJGo,10,0,Mon Feb 19 15:20:41 2018
Politics,Supreme Court of Pennsylvania,Pennsylvania Court Issues New Congressional Map,nbcphiladelphia.com,https://www.facebook.com/topic/Supreme-Court-of-Pennsylvania/139744832709829?source=whfrt&position=1001&trqid=6524378473377999251&impressionguid=03gojSRA6eRLkLpE4,1,0,Mon Feb 19 15:20:42 2018
Politics,Donald Trump,Trump backs effort to improve gun background checks: White…,reuters.com,https://www.facebook.com/topic/Donald-Trump/143301122351927?source=whfrt&position=1002&trqid=6524378473377999251&impressionguid=03gojSRA6eRLkLpE4,2,0,Mon Feb 19 15:20:42 2018
Politics,Moscow Kremlin,Kremlin dismisses Mueller's indictment of 13 Russians,cnn.com,https://www.facebook.com/topic/Moscow-Kremlin/105493486152035?source=whfrt&position=1003&trqid=6524378473377999251&impressionguid=03gojSRA6eRLkLpE4,3,0,Mon Feb 19 15:20:42 2018
Politics,"Parkland, Florida",Students take battle for gun control to streets,cnn.com,https://www.facebook.com/topic/Parkland-Florida/137935799569085?source=whfrt&position=1004&trqid=6524378473377999251&impressionguid=03gojSRA6eRLkLpE4,4,0,Mon Feb 19 15:20:42 2018
Politics,Mar-a-Lago,Trump Reportedly Asked Pals At Mar a Lago What To Do On Gun…,yahoo.com,https://www.facebook.com/topic/Mar-a-Lago/111043798945761?source=whfrt&position=1005&trqid=6524378473377999251&impressionguid=03gojSRA6eRLkLpE4,5,0,Mon Feb 19 15:20:42 2018
Politics,President's Day,Presidents Day Trivia: Facts About The 45 US Presidents,msn.com,https://www.facebook.com/topic/Presidents-Day/144162252265035?source=whfrt&position=1006&trqid=6524378473377999251&impressionguid=03gojSRA6eRLkLpE4,6,0,Mon Feb 19 15:20:42 2018
Politics,Michelle Obama,Michelle Obama praises Black Panther for inspiring 'people of all…,msn.com,https://www.facebook.com/topic/Michelle-Obama/112766808736885?source=whfrt&position=1007&trqid=6524378473377999251&impressionguid=03gojSRA6eRLkLpE4,7,0,Mon Feb 19 15:20:42 2018
Politics,"St. Louis, Missouri",Missouri antique shop harassed over pro-police flag,video.foxnews.com,https://www.facebook.com/topic/St-Louis-Missouri/116098685071411?source=whfrt&position=1008&trqid=6524378473377999251&impressionguid=03gojSRA6eRLkLpE4,8,0,Mon Feb 19 15:20:42 2018
Politics,Benjamin Netanyahu,"'Do not test Israel's resolve', Netanyahu warns Iran",yahoo.com,https://www.facebook.com/topic/Benjamin-Netanyahu/108153869208498?source=whfrt&position=1009&trqid=6524378473377999251&impressionguid=03gojSRA6eRLkLpE4,9,0,Mon Feb 19 15:20:42 2018
Politics,Mike Pence,"‘The View’ co-hosts mock Mike Pence’s faith, bring flood of…",foxnews.com,https://www.facebook.com/topic/Mike-Pence/104082119628541?source=whfrt&position=1010&trqid=6524378473377999251&impressionguid=03gojSRA6eRLkLpE4,10,0,Mon Feb 19 15:20:42 2018
Science and Technology,Richard Branson,Richard Branson Unveils Hyperloop Plans for India,bloomberg.com,https://www.facebook.com/topic/Richard-Branson/106082389422350?source=whfrt&position=3001&trqid=6524378473536185280&impressionguid=0qjYEDdZtdaIZS24R,1,0,Mon Feb 19 15:20:43 2018
Science and Technology,Consumers Energy,Mich. utility to phase out electricity production by coal by 2040,thehill.com,https://www.facebook.com/topic/Consumers-Energy/112540165424358?source=whfrt&position=3002&trqid=6524378473536185280&impressionguid=0qjYEDdZtdaIZS24R,2,0,Mon Feb 19 15:20:43 2018
