type,title,description,source,trendlink,rank,scrapeid,timestamp
Top Trends,"Damascus, Syria",Israel Launches Air Strike On Syrian Army Position Near Damascus,zerohedge.com,https://www.facebook.com/topic/Damascus-Syria/104167112952079?source=whfrt&position=1&trqid=6553329370600599229&impressionguid=01u6I6Cilw8W9nMnJ,1,0,2018-05-08T16:45:06.187422
Top Trends,Facebook,Facebook undergoes a huge executive reshuffle,social.techcrunch.com,https://www.facebook.com/topic/Facebook/254174568100078?source=whfrt&position=2&trqid=6553329370600599229&impressionguid=01u6I6Cilw8W9nMnJ,2,0,2018-05-08T16:45:06.187422
Top Trends,David Goodall,World's oldest scientist who 'regrets living to 104' arrives in…,in.news.yahoo.com,https://www.facebook.com/topic/David-Goodall/108213769200646?source=whfrt&position=3&trqid=6553329370600599229&impressionguid=01u6I6Cilw8W9nMnJ,3,0,2018-05-08T16:45:06.187422
Top Trends,Chrome OS,Chrome OS is getting full-fledged Linux apps,theverge.com,https://www.facebook.com/topic/Chrome-OS/149107971911784?source=whrt&position=4&trqid=6553329387653608504&impressionguid=01u6I6Cilw8W9nMnJ,4,0,2018-05-08T16:45:06.187422
Top Trends,Dish Network,"Did a Dish Network telemarketer call you? You could get $1,200 from…",usatoday.com,https://www.facebook.com/topic/Dish-Network/137679492922549?source=whrt&position=5&trqid=6553329387653608504&impressionguid=01u6I6Cilw8W9nMnJ,5,0,2018-05-08T16:45:06.187422
Top Trends,Android P,Android blatantly copies the iPhone X navigation gestures,social.techcrunch.com,https://www.facebook.com/topic/Android-P/112145925469595?source=whrt&position=6&trqid=6553329387653608504&impressionguid=01u6I6Cilw8W9nMnJ,6,0,2018-05-08T16:45:06.187422
Top Trends,"Macomb Township, Michigan",Police search for as many as 7 long-missing girls believed…,cbsnews.com,https://www.facebook.com/topic/Macomb-Township-Michigan/112501528762759?source=whrt&position=7&trqid=6553329387653608504&impressionguid=01u6I6Cilw8W9nMnJ,7,0,2018-05-08T16:45:06.187422
Top Trends,Uber,Uber reveals its latest ‘flying car’ prototype for aerial taxi service,msn.com,https://www.facebook.com/topic/Uber/176794885724034?source=whrt&position=8&trqid=6553329387653608504&impressionguid=01u6I6Cilw8W9nMnJ,8,0,2018-05-08T16:45:06.187422
Top Trends,Walmart,Walmart Limits Opioid Prescriptions In Bid To Curb Epidemic,huffingtonpost.com,https://www.facebook.com/topic/Walmart/106242219413347?source=whrt&position=9&trqid=6553329387653608504&impressionguid=01u6I6Cilw8W9nMnJ,9,0,2018-05-08T16:45:06.187422
Top Trends,Google I/O,Google I/O 2018: Watch the keynote live right here,androidauthority.com,https://www.facebook.com/topic/Google-IO/412198698862630?source=whrt&position=10&trqid=6553329387653608504&impressionguid=01u6I6Cilw8W9nMnJ,10,0,2018-05-08T16:45:06.187422
