timestamp,scrapeid,type,rank,title,source,publishedDate,timeSince,description,url
Wed May  2 20:39:50 2018,0,Top Trends,1,Clinton: Being a capitalist 'probably' hurt me with Dem voters,The Hill,"Wednesday, May 2, 2018 at 5:09pm",3 hours ago,Former Democratic presidential nominee Hillary Clinton says identifying as a capitalist hurt her in the 2016 campaign.,http://thehill.com/blogs/blog-briefing-room/385942-clinton-being-a-capitalist-probably-hurt-her-2016-election-prospects
Wed May  2 20:39:50 2018,0,Top Trends,2,Republican House members seek Nobel Peace Prize…,Boston Herald,None,None,None,http://www.bostonherald.com/news/us_politics/2018/05/republican_house_members_seek_nobel_peace_prize_for_trump
Wed May  2 20:39:50 2018,0,Top Trends,3,When Milwaukee had a real snowstorm in mid-May —…,Milwaukee Journal Sentinel,None,None,None,https://www.jsonline.com/story/life/green-sheet/2018/05/02/when-milwaukee-had-real-snowstorm-mid-may-blizzard-waukesha-pewaukee/571355002/
Wed May  2 20:39:50 2018,0,Top Trends,4,NASCAR suspends Spencer Gallagher for failed drug…,Detroit Free Press,None,None,None,https://www.freep.com/story/sports/nascar/2018/05/02/nascar-suspends-xfinity-driver-spencer-gallagher-failed-drug-test/572733002/
Wed May  2 20:39:50 2018,0,Top Trends,5,Team Trump Aided Harbinger Founder…,Forbes,None,None,None,https://www.forbes.com/sites/muhammadcohen/2018/05/02/team-trump-aided-harbinger-founder-falcones-vietnam-casino-and-thats-normal/
Wed May  2 20:39:50 2018,0,Top Trends,6,Hillary Clinton: Being a Capitalist ‘Probably’ Hurt…,The Daily Beast,None,None,None,https://www.thedailybeast.com/hillary-clinton-being-a-capitalist-probably-hurt-me-in-primary-because-many-democrats-are-socialists
Wed May  2 20:39:50 2018,0,Top Trends,7,"Campos-Duffy: Trump Was Elected, 'Nobody Cares'…",Fox News Insider,None,None,None,http://insider.foxnews.com/2018/05/02/rachel-campos-duffy-dismisses-jerry-browns-comments-immigration-migrant-caravan
Wed May  2 20:39:50 2018,0,Top Trends,8,The Kanye Effect -- Black Male Approval For Trump…,The Daily Caller,None,None,None,http://dailycaller.com/2018/05/02/reuters-poll-black-male-approval-for-trump-doubles-in-one-week/
Wed May  2 20:39:50 2018,0,Top Trends,9,Spring storm brings Valley showers; high country…,azfamily 3TV CBS 5,None,None,None,http://www.azfamily.com/story/38096365/spring-storm-brings-valley-showers-high-country-snow-and-ice
Wed May  2 20:39:50 2018,0,Top Trends,10,WATCH: Hillary Clinton's New Excuse On Why She…,www.dailywire.com,None,None,None,https://www.dailywire.com/news/30174/watch-hillary-clintons-new-excuse-why-she-lost-ryan-saavedra
Wed May  2 20:39:50 2018,0,Top Trends,1,E. coli outbreak linked to romaine turns deadly,CNN,"Wednesday, May 2, 2018 at 2:10pm",6 hours ago,"One person has died from the E. coli outbreak linked to romaine lettuce from the Yuma, Arizona, growing region. The death, in California, is the…",https://www.cnn.com/2018/05/02/health/romaine-e-coli-outbreak-turns-deadly-bn/index.html
Wed May  2 20:39:50 2018,0,Top Trends,2,CDC reports 1 dead in E. coli outbreak tied to…,Fox News,None,None,None,http://www.foxnews.com/health/2018/05/02/cdc-reports-1-dead-in-e-coli-outbreak-tied-to-romaine-lettuce.html
Wed May  2 20:39:50 2018,0,Top Trends,3,One Person Has Died In The E. Coli Outbreak Linked…,BuzzFeed,None,None,None,https://www.buzzfeed.com/theresatamkins/death-e-coli-outbreak-romaine-lettuce
Wed May  2 20:39:50 2018,0,Top Trends,4,California reports 1st death in romaine lettuce E. coli…,ABC7,None,None,None,http://abc7.com/3420218/
Wed May  2 20:39:50 2018,0,Top Trends,5,E. coli outbreak tied to romaine lettuce kills 1 in…,USA TODAY,None,None,None,https://www.usatoday.com/story/news/nation-now/2018/05/02/e-coli-outbreak-tied-romaine-lettuce-kills-1-california/574216002/
Wed May  2 20:39:50 2018,0,Top Trends,6,First death reported from E. coli-contaminated…,Washington Post,None,None,None,https://www.washingtonpost.com/news/to-your-health/wp/2018/05/02/first-death-reported-from-e-coli-contaminated-romaine-lettuce-as-outbreak-spreads/
Wed May  2 20:39:50 2018,0,Top Trends,7,CDC Ramps Up Romaine Warnings After E. Coli Death,HuffPost,None,None,None,https://www.huffingtonpost.com/entry/one-dead-in-latest-e-coli-outbreak_us_5aea19c2e4b022f71a04a3aa
Wed May  2 20:39:50 2018,0,Top Trends,8,First death reported in E. coli outbreak tied to…,CBS News,None,None,None,https://www.cbsnews.com/news/first-death-reported-in-e-coli-outbreak-tied-to-romaine-lettuce/
Wed May  2 20:39:50 2018,0,Top Trends,9,One person has died in the outbreak of E. coli linked…,NBC News,None,None,None,https://www.nbcnews.com/health/health-news/first-death-reported-romaine-lettuce-e-coli-outbreak-n870871
Wed May  2 20:39:50 2018,0,Top Trends,10,Why deadly E. coli loves leafy greens,CNN,None,None,None,https://www.cnn.com/2018/05/02/health/e-coli-lettuce-explainer/index.html
Wed May  2 20:39:50 2018,0,Top Trends,1,Trump Replaces Ty Cobb With Clinton Impeachment Lawyer,HuffPost,"Wednesday, May 2, 2018 at 12:04pm",8 hours ago,"Emmet T. Flood is slated to replace Cobb, who has led the White House's interactions with special counsel Robert Mueller's office.",https://www.huffingtonpost.com/entry/trump-cobb-flood-mueller_us_5ae9e922e4b022f71a04650d
Wed May  2 20:39:50 2018,0,Top Trends,2,Trump loses another Russia probe lawyer,BBC News,None,None,None,http://www.bbc.com/news/world-us-canada-43984180
Wed May  2 20:39:50 2018,0,Top Trends,3,Trump hires Clinton impeachment lawyer to…,NBC News,None,None,None,https://www.nbcnews.com/politics/white-house/key-trump-lawyer-handling-russia-investigation-announces-retirement-n870811
Wed May  2 20:39:50 2018,0,Top Trends,4,Ty Cobb out as Trump moves to hire Clinton…,The Hill,None,None,None,http://thehill.com/homenews/administration/385855-trump-to-hire-clinton-impeachment-lawyer-to-replace-retiring-wh
Wed May  2 20:39:50 2018,0,Top Trends,5,Trump hires Clinton impeachment lawyer…,POLITICO,None,None,None,https://www.politico.com/story/2018/05/02/ty-cobb-resigns-565621
Wed May  2 20:39:50 2018,0,Top Trends,6,Trump Lawyer Ty Cobb Is Leaving the White House,The Daily Beast,None,None,None,https://www.thedailybeast.com/trump-lawyer-ty-cobb-is-leaving-the-white-house
Wed May  2 20:39:50 2018,0,Top Trends,7,"Trump Adds Clinton Impeachment Lawyer,…",The New York Times,None,None,None,https://www.nytimes.com/2018/05/02/us/politics/emmet-flood-ty-cobb-white-house-lawyer-special-counsel.html
Wed May  2 20:39:50 2018,0,Top Trends,8,Ty Cobb exits Trump’s legal team,Vox,None,None,None,https://www.vox.com/2018/5/2/17156224/ty-cobb-resigns-trump-mueller
Wed May  2 20:39:50 2018,0,Top Trends,9,"Ty Cobb to leave Trump's legal team, be replaced by…",Fox News,None,None,None,http://www.foxnews.com/politics/2018/05/02/ty-cobb-to-leave-trumps-legal-team-replaced-by-emmet-flood.html
Wed May  2 20:39:50 2018,0,Top Trends,10,Emmet Flood to Replace Ty Cobb on Donald Trump’s…,The Wall Street Journal,None,None,None,https://www.wsj.com/articles/ty-cobb-leaving-donald-trumps-legal-team-1525280088
Wed May  2 20:39:50 2018,0,Top Trends,1,GOP candidate questions 'cognitive thought process' of veterans in Dem Party,The Hill,"Wednesday, May 2, 2018 at 5:14pm",3 hours ago,"A Republican running for the Senate in Wisconsin on Wednesday questioned the ""cognitive thought process"" of veterans who align with…",http://thehill.com/homenews/campaign/385943-gop-candidate-questions-cognitive-thought-process-of-veterans-in-dem-party
Wed May  2 20:39:50 2018,0,Top Trends,2,Wisconsin GOP Senate candidate questions…,CNN,None,None,None,https://www.cnn.com/2018/05/02/politics/kfile-wisconsin-gop-senate-veterans-democrats/index.html?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%253A+rss%252Fcnn_latest+(RSS%253A+CNN+-+Most+Recent)
Wed May  2 20:39:50 2018,0,Top Trends,3,Kevin Nicholson questions 'cognitive thought…,Milwaukee Journal Sentinel,None,None,None,https://www.jsonline.com/story/news/politics/2018/05/02/kevin-nicholson-questions-cognitive-thought-process-military-veterans-democratic-party/574547002/
Wed May  2 20:39:50 2018,0,Top Trends,4,GOP Senate candidate promises to end Mueller's…,The Raw Story,None,None,None,https://www.rawstory.com/2018/05/gop-senate-candidate-promises-end-muellers-witch-hunt-elected/
Wed May  2 20:39:50 2018,0,Top Trends,5,Wisconsin GOP Senate candidate questions…,WISC-TV / Channel 3000,None,None,None,https://www.channel3000.com/news/politics/wisconsin-gop-senate-candidate-questions-democratic-veterans-1/737538423
Wed May  2 20:39:50 2018,0,Top Trends,1,Iowa lawmakers pass strictest abortion law in the US,The Hill,"Wednesday, May 2, 2018 at 7:41am",12 hours ago,"Iowa lawmakers on Wednesday passed the strictest abortion legislation in the U.S., sending the legislation to Gov. Kim Reynolds's (R) desk.",http://thehill.com/homenews/state-watch/385799-iowa-lawmakers-passed-strictest-abortion-law-in-the-us
Wed May  2 20:39:50 2018,0,Top Trends,2,"Iowa passes 'fetal heartbeat' abortion ban, most…",Yahoo,None,None,None,https://www.yahoo.com/lifestyle/iowa-passes-fetal-heartbeat-abortion-ban-most-restrictive-173454114.html
Wed May  2 20:39:50 2018,0,Top Trends,3,"Iowa's fetal 'heartbeat bill' passed by lawmakers,…",Fox News,None,None,None,http://www.foxnews.com/politics/2018/05/02/iowas-fetal-heartbeat-bill-passed-by-lawmakers-sent-to-governor.html
Wed May  2 20:39:50 2018,0,Top Trends,4,Iowa Lawmakers Pass Bill Banning ‘Fetal Heartbeat’…,The Wall Street Journal,None,None,None,https://www.wsj.com/articles/iowa-lawmakers-pass-bill-banning-fetal-heartbeat-abortions-1525282371
Wed May  2 20:39:50 2018,0,Top Trends,5,Iowa legislators just passed one of the most restrictive…,Washington Post,None,None,None,https://www.washingtonpost.com/news/to-your-health/wp/2018/05/02/iowa-lawmakers-just-passed-one-of-the-most-restrictive-abortion-bills-in-the-u-s/
Wed May  2 20:39:50 2018,0,Top Trends,6,Iowa lawmakers pass strictest abortion law in…,MSN,None,None,None,https://www.msn.com/en-us/news/us/iowa-lawmakers-pass-strictest-abortion-law-in-the-us/ar-AAwDDRj
Wed May  2 20:39:50 2018,0,Top Trends,7,"Iowa Lawmakers Pass Ban on Most Abortions,…",The New York Times,None,None,None,https://www.nytimes.com/2018/05/02/us/iowa-abortion-law-bill.html
Wed May  2 20:39:50 2018,0,Top Trends,8,Iowa lawmakers pass the nation's most restrictive…,CNN,None,None,None,https://www.cnn.com/2018/05/02/health/iowa-abortion-ban-trnd/index.html
Wed May  2 20:39:50 2018,0,Top Trends,9,'Toughest' abortion bill approved in US,BBC News,None,None,None,http://www.bbc.com/news/world-us-canada-43978510
Wed May  2 20:39:50 2018,0,Top Trends,10,Iowa’s Legislature Just Passed The Most…,BuzzFeed,None,None,None,https://www.buzzfeed.com/emaoconnor/iowas-legislature-just-passed-the-most-restrictive-abortion
