type,title,description,source,uniquelink,rank,scrapeid,timestamp
Top Trends,"Tijuana, Mexico",Migrant Caravan Prepares to Cross Border to Seek Asylum,nbclosangeles.com,https://www.facebook.com/topic/Tijuana-Mexico/111939165490631?source=whfrt&position=1&trqid=6549961411829459315&impressionguid=0w9WkFgHkgT7WGvWs,1,3,Sun Apr 29 14:55:39 2018
Top Trends,"Norridgewock, Maine",Suspect in deputy killing held in maximum security prison,providencejournal.com,https://www.facebook.com/topic/Norridgewock-Maine/109429835749227?source=whfrt&position=2&trqid=6549961411829459315&impressionguid=0w9WkFgHkgT7WGvWs,2,3,Sun Apr 29 14:55:39 2018
Top Trends,T-Mobile,T-Mobile agrees to acquire Sprint,msn.com,https://www.facebook.com/topic/T-Mobile/1518904931664235?source=whfrt&position=3&trqid=6549961411829459315&impressionguid=0w9WkFgHkgT7WGvWs,3,3,Sun Apr 29 14:55:39 2018
Top Trends,Lewis Hamilton,Lewis Hamilton wins Azerbaijan Grand Prix after Red Bulls crash,bbc.com,https://www.facebook.com/topic/Lewis-Hamilton/819073424890091?source=whrt&position=4&trqid=6549961420430888513&impressionguid=0w9WkFgHkgT7WGvWs,4,3,Sun Apr 29 14:55:39 2018
Top Trends,Iran Nuclear Deal Framework,"Britain, France and Germany agree on support for Iran nuclear deal",reuters.com,https://www.facebook.com/topic/Iran-Nuclear-Deal-Framework/517308968408349?source=whrt&position=5&trqid=6549961420430888513&impressionguid=0w9WkFgHkgT7WGvWs,5,3,Sun Apr 29 14:55:39 2018
Top Trends,"Williams, Arizona","Missing, endangered 4-year-old visiting Arizona found",fox13now.com,https://www.facebook.com/topic/Williams-Arizona/108379769183746?source=whrt&position=6&trqid=6549961420430888513&impressionguid=0w9WkFgHkgT7WGvWs,6,3,Sun Apr 29 14:55:39 2018
Top Trends,Willie Nelson,"Happy 85th birthday, Willie Nelson! You're always on our minds",usatoday.com,https://www.facebook.com/topic/Willie-Nelson/107598095936100?source=whrt&position=7&trqid=6549961420430888513&impressionguid=0w9WkFgHkgT7WGvWs,7,3,Sun Apr 29 14:55:39 2018
Top Trends,White House Correspondents' Association,Michelle Wolf Scorches White House Correspondents Dinner,deadline.com,https://www.facebook.com/topic/White-House-Correspondents-Association/1728990370682584?source=whrt&position=8&trqid=6549961420430888513&impressionguid=0w9WkFgHkgT7WGvWs,8,3,Sun Apr 29 14:55:39 2018
Top Trends,Blue Origin,Video: Blue Origin flies New Shepard rocket for eighth time…,spaceflightnow.com,https://www.facebook.com/topic/Blue-Origin/143668822313725?source=whrt&position=9&trqid=6549961420430888513&impressionguid=0w9WkFgHkgT7WGvWs,9,3,Sun Apr 29 14:55:39 2018
Top Trends,Rodrigo Duterte,Duterte to Permanently Ban Sending Workers to Kuwait,bloomberg.com,https://www.facebook.com/topic/Rodrigo-Duterte/103692093003531?source=whrt&position=10&trqid=6549961420430888513&impressionguid=0w9WkFgHkgT7WGvWs,10,3,Sun Apr 29 14:55:39 2018
Politics,"Tijuana, Mexico",Migrant Caravan Prepares to Cross Border to Seek Asylum,nbclosangeles.com,https://www.facebook.com/topic/Tijuana-Mexico/111939165490631?source=whfrt&position=1001&trqid=6549961420462554870&impressionguid=0B4q1UMZuoarsdN6V,1,3,Sun Apr 29 14:59:46 2018
Politics,Iran Nuclear Deal Framework,"Britain, France and Germany agree on support for Iran nuclear deal",reuters.com,https://www.facebook.com/topic/Iran-Nuclear-Deal-Framework/517308968408349?source=whfrt&position=1002&trqid=6549961420462554870&impressionguid=0B4q1UMZuoarsdN6V,2,3,Sun Apr 29 14:59:46 2018
Politics,White House Correspondents' Association,Michelle Wolf Scorches White House Correspondents Dinner,deadline.com,https://www.facebook.com/topic/White-House-Correspondents-Association/1728990370682584?source=whfrt&position=1003&trqid=6549961420462554870&impressionguid=0B4q1UMZuoarsdN6V,3,3,Sun Apr 29 14:59:46 2018
Politics,Rodrigo Duterte,Duterte to Permanently Ban Sending Workers to Kuwait,bloomberg.com,https://www.facebook.com/topic/Rodrigo-Duterte/103692093003531?source=whfrt&position=1004&trqid=6549961420462554870&impressionguid=0B4q1UMZuoarsdN6V,4,3,Sun Apr 29 14:59:46 2018
Politics,Alfie Evans Case,Alfie Evans: British toddler at centre of legal battle dies,aljazeera.com,https://www.facebook.com/topic/Alfie-Evans-Case/105653082800923?source=whfrt&position=1005&trqid=6549961420462554870&impressionguid=0B4q1UMZuoarsdN6V,5,3,Sun Apr 29 14:59:46 2018
Politics,Narendra Modi,"PM Modi Announces Swachh Bharat Summer Internship, Prizes For…",msn.com,https://www.facebook.com/topic/Narendra-Modi/338636539641148?source=whfrt&position=1006&trqid=6549961420462554870&impressionguid=0B4q1UMZuoarsdN6V,6,3,Sun Apr 29 14:59:46 2018
Politics,National Take Back Initiative,Drugmakers oppose lawmakers’ plans to tax opioids: report,thehill.com,https://www.facebook.com/topic/National-Take-Back-Initiative/107996279221955?source=whfrt&position=1007&trqid=6549961420462554870&impressionguid=0B4q1UMZuoarsdN6V,7,3,Sun Apr 29 14:59:46 2018
Politics,UN Security Council,Rohingya demand justice as UN delegation visits…,aljazeera.com,https://www.facebook.com/topic/UN-Security-Council/107047302663768?source=whfrt&position=1008&trqid=6549961420462554870&impressionguid=0B4q1UMZuoarsdN6V,8,3,Sun Apr 29 14:59:46 2018
Politics,NRA,Parkland survivor calls out NRA for banning guns at convention,thehill.com,https://www.facebook.com/topic/NRA/103798466325715?source=whfrt&position=1009&trqid=6549961420462554870&impressionguid=0B4q1UMZuoarsdN6V,9,3,Sun Apr 29 14:59:46 2018
Politics,Australian Labor Party,Labor govt will scrap 'tampon tax',msn.com,https://www.facebook.com/topic/Australian-Labor-Party/108136815874745?source=whfrt&position=1010&trqid=6549961420462554870&impressionguid=0B4q1UMZuoarsdN6V,10,3,Sun Apr 29 14:59:46 2018
Science and Technology,T-Mobile,T-Mobile agrees to acquire Sprint,msn.com,https://www.facebook.com/topic/T-Mobile/1518904931664235?source=whfrt&position=3001&trqid=6549961424667138630&impressionguid=0Sh421OPWQcsw1sAs,1,3,Sun Apr 29 15:03:51 2018
Science and Technology,Blue Origin,Video: Blue Origin flies New Shepard rocket for eighth time – Spaceflight Now,spaceflightnow.com,https://www.facebook.com/topic/Blue-Origin/143668822313725?source=whfrt&position=3002&trqid=6549961424667138630&impressionguid=0Sh421OPWQcsw1sAs,2,3,Sun Apr 29 15:03:51 2018
Science and Technology,Nashville Waffle House Shooting,Waffle House shooting hero raises more than $183K for victims’ families,thehill.com,https://www.facebook.com/topic/Nashville-Waffle-House-Shooting/106102989420337?source=whfrt&position=3003&trqid=6549961424667138630&impressionguid=0Sh421OPWQcsw1sAs,3,3,Sun Apr 29 15:03:51 2018
Science and Technology,Narendra Modi,"PM Modi Announces Swachh Bharat Summer Internship, Prizes For Performers",msn.com,https://www.facebook.com/topic/Narendra-Modi/338636539641148?source=whfrt&position=3004&trqid=6549961424667138630&impressionguid=0Sh421OPWQcsw1sAs,4,3,Sun Apr 29 15:03:51 2018
Science and Technology,"Hemel Hempstead, England",'Autopilot driver' who sat in passenger seat banned,msn.com,https://www.facebook.com/topic/Hemel-Hempstead-England/106451282725734?source=whfrt&position=3005&trqid=6549961424667138630&impressionguid=0Sh421OPWQcsw1sAs,5,3,Sun Apr 29 15:03:51 2018
Science and Technology,Great Barrier Reef,Australia Pledges Millions of Dollars in Bid to Rescue Great Barrier Reef,nytimes.com,https://www.facebook.com/topic/Great-Barrier-Reef/110941495593471?source=whfrt&position=3006&trqid=6549961424667138630&impressionguid=0Sh421OPWQcsw1sAs,6,3,Sun Apr 29 15:03:51 2018
Science and Technology,"Chiang Mai, Thailand",Thai environment protesters in rare rally,bbc.com,https://www.facebook.com/topic/Chiang-Mai-Thailand/108787585811377?source=whfrt&position=3007&trqid=6549961424667138630&impressionguid=0Sh421OPWQcsw1sAs,7,3,Sun Apr 29 15:03:51 2018
Science and Technology,European Space Agency,Space Photos of the Week: ESA's Gaia Tallies Up Our Milky Way,wired.com,https://www.facebook.com/topic/European-Space-Agency/109704005715603?source=whfrt&position=3008&trqid=6549961424667138630&impressionguid=0Sh421OPWQcsw1sAs,8,3,Sun Apr 29 15:03:51 2018
Science and Technology,Toronto Stock Exchange,TSX to reopen Monday after 'hardware failure' causes outage Friday,ctvnews.ca,https://www.facebook.com/topic/Toronto-Stock-Exchange/113701108644347?source=whfrt&position=3009&trqid=6549961424667138630&impressionguid=0Sh421OPWQcsw1sAs,9,3,Sun Apr 29 15:03:51 2018
Science and Technology,London,Warning issued in London after toxic caterpillar outbreak,uk.businessinsider.com,https://www.facebook.com/topic/London/109623645730121?source=whfrt&position=3010&trqid=6549961424667138630&impressionguid=0Sh421OPWQcsw1sAs,10,3,Sun Apr 29 15:03:51 2018
Sports,Lewis Hamilton,Lewis Hamilton wins Azerbaijan Grand Prix after Red Bulls crash,bbc.com,https://www.facebook.com/topic/Lewis-Hamilton/819073424890091?source=whfrt&position=4001&trqid=6549961424703846174&impressionguid=0WnK1tVS6Wk0VcbrZ,1,3,Sun Apr 29 15:07:52 2018
