type,title,description,source,uniquelink,rank,scrapeid,timestamp
Top Trends,Jack Johnson,Trump considering pardon for boxing legend after call from…,thehill.com,https://www.facebook.com/topic/Jack-Johnson/124178217627312?source=whfrt&position=1&trqid=6547039511198445335&impressionguid=0q3mAbuKalGmgTWtu,1,0,Sat Apr 21 17:57:12 2018
Top Trends,OPCW,Chemical weapons watchdog: inspectors have samples from Douma,reuters.com,https://www.facebook.com/topic/OPCW/103974132973518?source=whfrt&position=2&trqid=6547039511198445335&impressionguid=0q3mAbuKalGmgTWtu,2,0,Sat Apr 21 17:57:12 2018
Top Trends,Scott Pruitt,Lobbyist Linked to EPA Chief Pruitt Quits As Firm Admits Contact,msn.com,https://www.facebook.com/topic/Scott-Pruitt/106091632756135?source=whfrt&position=3&trqid=6547039511198445335&impressionguid=0q3mAbuKalGmgTWtu,3,0,Sat Apr 21 17:57:12 2018
Top Trends,North Korea,Trump: North Korea's Suspension Of Nuclear Tests Shows 'Progress',npr.org,https://www.facebook.com/topic/North-Korea/112608108756133?source=whrt&position=4&trqid=6547039523898796108&impressionguid=0q3mAbuKalGmgTWtu,4,0,Sat Apr 21 17:57:12 2018
Top Trends,GSMA,Telecom standards group puts new technology on hold in wake…,reuters.com,https://www.facebook.com/topic/GSMA/211478135609119?source=whrt&position=5&trqid=6547039523898796108&impressionguid=0q3mAbuKalGmgTWtu,5,0,Sat Apr 21 17:57:12 2018
Top Trends,Yashwant Sinha,"Senior BJP leader Yashwant Sinha quits party, says democracy under…",msn.com,https://www.facebook.com/topic/Yashwant-Sinha/108002155894386?source=whrt&position=6&trqid=6547039523898796108&impressionguid=0q3mAbuKalGmgTWtu,6,0,Sat Apr 21 17:57:12 2018
Top Trends,Minneapolis,School bus driver removed from route for leading young passengers…,foxnews.com,https://www.facebook.com/topic/Minneapolis/111874992163301?source=whrt&position=7&trqid=6547039523898796108&impressionguid=0q3mAbuKalGmgTWtu,7,0,Sat Apr 21 17:57:12 2018
Top Trends,Steven Mnuchin,U.S. Treasury chief may visit China as trade tensions simmer,reuters.com,https://www.facebook.com/topic/Steven-Mnuchin/1561817454121433?source=whrt&position=8&trqid=6547039523898796108&impressionguid=0q3mAbuKalGmgTWtu,8,0,Sat Apr 21 17:57:12 2018
Top Trends,Harley-Davidson,Harley-Davidson hiring paid interns to ride across the country this summer,wishtv.com,https://www.facebook.com/topic/Harley-Davidson/108223765872333?source=whrt&position=9&trqid=6547039523898796108&impressionguid=0q3mAbuKalGmgTWtu,9,0,Sat Apr 21 17:57:12 2018
Top Trends,"Queensland, Australia",Australian dog receives police honours for keeping lost child safe,au.news.yahoo.com,https://www.facebook.com/topic/Queensland-Australia/103771732994417?source=whrt&position=10&trqid=6547039523898796108&impressionguid=0q3mAbuKalGmgTWtu,10,0,Sat Apr 21 17:57:12 2018
