type,title,description,source,rank,scrapeid,timestamp,uniquelink
Entertainment,American Broadcasting Company,"ABC says 'Roseanne' will concentrate on family, not politics",https://www.facebook.com/topic/American-Broadcasting-Company/106140096083553?source=whfrt&position=5008&trqid=6556293662454332414&impressionguid=0spEgYOYiExsSVzVZ,8,0,5/16/2018 21:28,stltoday.com
Entertainment,Annette Bening,‘Captain Marvel’ Adds Annette Bening,https://www.facebook.com/topic/Annette-Bening/109186072432520?source=whfrt&position=5009&trqid=6553965810183660663&impressionguid=0hXTwlJSddF2cGBTu,9,0,5/10/2018 9:54,variety.com
Entertainment,Barbara Windsor,Barbara Windsor diagnosed with Alzheimer's,https://www.facebook.com/topic/Barbara-Windsor/108008329227666?source=whfrt&position=5003&trqid=6553965810183660663&impressionguid=0hXTwlJSddF2cGBTu,3,0,5/10/2018 9:54,bbc.com
Entertainment,Battlefield,The next Battlefield will be revealed on May 23rd | OC3D…,https://www.facebook.com/topic/Battlefield/112759648750562?source=whfrt&position=5007&trqid=6556293662454332414&impressionguid=0spEgYOYiExsSVzVZ,7,0,5/16/2018 21:28,overclock3d.net
Entertainment,Borderlands,"Borderlands 3 Won't Be At E3, Gearbox Claims (Kind Of)",https://www.facebook.com/topic/Borderlands/634461463268006?source=whfrt&position=5009&trqid=6556293662454332414&impressionguid=0spEgYOYiExsSVzVZ,9,0,5/16/2018 21:28,gamespot.com
Entertainment,Iron Man,LAPD investigating disappearance of original Iron Man suit used in…,https://www.facebook.com/topic/Iron-Man/107718255924482?source=whfrt&position=5002&trqid=6553965810183660663&impressionguid=0hXTwlJSddF2cGBTu,2,0,5/10/2018 9:54,sun-sentinel.com
Entertainment,Justin Timberlake,Justin Timberlake surprises 88-year-old fan - CNN Video,https://www.facebook.com/topic/Justin-Timberlake/109515035734848?source=whfrt&position=5003&trqid=6556293662454332414&impressionguid=0spEgYOYiExsSVzVZ,3,0,5/16/2018 21:28,cnn.com
Entertainment,Khloé Kardashian,Khloe Kardashian Reveals Plans for First Mother's Day With True,https://www.facebook.com/topic/Khlo%C3%A9-Kardashian/106074112756215?source=whfrt&position=5006&trqid=6553965810183660663&impressionguid=0hXTwlJSddF2cGBTu,6,0,5/10/2018 9:54,etonline.com
Entertainment,Kim Kardashian,Kim Kardashian criticized for promoting appetite-suppressing…,https://www.facebook.com/topic/Kim-Kardashian/103987999637731?source=whfrt&position=5006&trqid=6556293662454332414&impressionguid=0spEgYOYiExsSVzVZ,6,0,5/16/2018 21:28,yahoo.com
Entertainment,LSD,"Sia, Diplo & Labrinth of the Supergroup LSD Share 'Audio': Listen",https://www.facebook.com/topic/LSD/103824269655914?source=whfrt&position=5007&trqid=6553965810183660663&impressionguid=0hXTwlJSddF2cGBTu,7,0,5/10/2018 9:54,billboard.com
Entertainment,Neha Dhupia,Neha Dhupia and Angad Bedi are now married - view pic,https://www.facebook.com/topic/Neha-Dhupia/113015392046009?source=whfrt&position=5001&trqid=6553965810183660663&impressionguid=0hXTwlJSddF2cGBTu,1,0,5/10/2018 9:54,bollywoodlife.com
Entertainment,Outlander,"Outlander Renewed for Seasons 5 and 6, Plus: See First Season 4 Photos",https://www.facebook.com/topic/Outlander/108384472515313?source=whfrt&position=5005&trqid=6553965810183660663&impressionguid=0hXTwlJSddF2cGBTu,5,0,5/10/2018 9:54,msn.com
Entertainment,Pennyworth,'Gotham' Boss Sets New Batman Prequel…,https://www.facebook.com/topic/Pennyworth/103772989661507?source=whfrt&position=5004&trqid=6556293662454332414&impressionguid=0spEgYOYiExsSVzVZ,4,0,5/16/2018 21:28,hollywoodreporter.com
Entertainment,SNK,SNK Has A Mini Neo Geo On The Way,https://www.facebook.com/topic/SNK/106096079422483?source=whfrt&position=5010&trqid=6553965810183660663&impressionguid=0hXTwlJSddF2cGBTu,10,0,5/10/2018 9:54,forbes.com
Entertainment,Steam,Valve will soon let you stream Steam games to phones and tablets,https://www.facebook.com/topic/Steam/110584698963361?source=whfrt&position=5004&trqid=6553965810183660663&impressionguid=0hXTwlJSddF2cGBTu,4,0,5/10/2018 9:54,arstechnica.com
