type,title,description,source,trendlink,rank,scrapeid,timestamp
Top Trends,"Sykesville, Maryland",Video shows deputy fatally shooting groundhog in Maryland,12newsnow.com,https://www.facebook.com/topic/Sykesville-Maryland/113068225373321?source=whfrt&position=1&trqid=6553366603871880202&impressionguid=0fDbkIwRTbRH2I8RL,1,0,2018-05-08T19:09:35.824698
Top Trends,Michael Cohen,Mueller's team questions Russian oligarch about payments to Cohen,cnn.com,https://www.facebook.com/topic/Michael-Cohen/109747645711336?source=whfrt&position=2&trqid=6553366603871880202&impressionguid=0fDbkIwRTbRH2I8RL,2,0,2018-05-08T19:09:35.824698
Top Trends,Bill & Ted,Keanu Reeves and Alex Winter Reteaming for 'Bill & Ted 3',hollywoodreporter.com,https://www.facebook.com/topic/Bill-Ted/106012472763750?source=whfrt&position=3&trqid=6553366603871880202&impressionguid=0fDbkIwRTbRH2I8RL,3,0,2018-05-08T19:09:35.824698
Top Trends,"Damascus, Syria",Israel Launches Air Strike On Iran Base Near Damascus,zerohedge.com,https://www.facebook.com/topic/Damascus-Syria/104167112952079?source=whrt&position=4&trqid=6553366625390600055&impressionguid=0fDbkIwRTbRH2I8RL,4,0,2018-05-08T19:09:35.824698
Top Trends,Android P,Android blatantly copies the iPhone X navigation gestures,social.techcrunch.com,https://www.facebook.com/topic/Android-P/112145925469595?source=whrt&position=5&trqid=6553366625390600055&impressionguid=0fDbkIwRTbRH2I8RL,5,0,2018-05-08T19:09:35.824698
Top Trends,Uber,Uber reveals its latest ‘flying car’ prototype for aerial taxi service,msn.com,https://www.facebook.com/topic/Uber/176794885724034?source=whrt&position=6&trqid=6553366625390600055&impressionguid=0fDbkIwRTbRH2I8RL,6,0,2018-05-08T19:09:35.824698
Top Trends,Donald Trump,Trump wants to cut Children Health Insurance Spending,msn.com,https://www.facebook.com/topic/Donald-Trump/108176935877308?source=whrt&position=7&trqid=6553366625390600055&impressionguid=0fDbkIwRTbRH2I8RL,7,0,2018-05-08T19:09:35.824698
Top Trends,Walmart,Walmart Limits Opioid Prescriptions In Bid To Curb Epidemic,huffingtonpost.com,https://www.facebook.com/topic/Walmart/106242219413347?source=whrt&position=8&trqid=6553366625390600055&impressionguid=0fDbkIwRTbRH2I8RL,8,0,2018-05-08T19:09:35.824698
Top Trends,Dish Network,"Did a Dish Network telemarketer call you? You could get $1,200 from…",usatoday.com,https://www.facebook.com/topic/Dish-Network/137679492922549?source=whrt&position=9&trqid=6553366625390600055&impressionguid=0fDbkIwRTbRH2I8RL,9,0,2018-05-08T19:09:35.824698
Top Trends,Google I/O,Google I/O 2018: Watch the keynote live right here,androidauthority.com,https://www.facebook.com/topic/Google-IO/412198698862630?source=whrt&position=10&trqid=6553366625390600055&impressionguid=0fDbkIwRTbRH2I8RL,10,0,2018-05-08T19:09:35.824698
Politics,Michael Cohen,Mueller's team questions Russian oligarch about payments to Cohen,cnn.com,https://www.facebook.com/topic/Michael-Cohen/109747645711336?source=whfrt&position=1001&trqid=6553366625238313216&impressionguid=0BdohRbqQFMVka6KP,1,0,2018-05-08T19:09:39.939379
Politics,"Damascus, Syria",Israel Launches Air Strike On Iran Base Near Damascus,zerohedge.com,https://www.facebook.com/topic/Damascus-Syria/104167112952079?source=whfrt&position=1002&trqid=6553366625238313216&impressionguid=0BdohRbqQFMVka6KP,2,0,2018-05-08T19:09:39.939379
Politics,Donald Trump,Trump wants to cut Children Health Insurance Spending,msn.com,https://www.facebook.com/topic/Donald-Trump/108176935877308?source=whfrt&position=1003&trqid=6553366625238313216&impressionguid=0BdohRbqQFMVka6KP,3,0,2018-05-08T19:09:39.939379
Politics,Seattle City Council,Stakes high as Seattle considers business tax for homeless,theprovince.com,https://www.facebook.com/topic/Seattle-City-Council/1771549883083604?source=whfrt&position=1004&trqid=6553366625238313216&impressionguid=0BdohRbqQFMVka6KP,4,0,2018-05-08T19:09:39.939379
Politics,Oliver North,Retired Marine Lt. Col. Oliver North is named president of the NRA,stripes.com,https://www.facebook.com/topic/Oliver-North/103722076332497?source=whfrt&position=1005&trqid=6553366625238313216&impressionguid=0BdohRbqQFMVka6KP,5,0,2018-05-08T19:09:39.939379
Politics,Nikol Pashinyan,Armenia: Nikol Pashinyan elected as new prime minister,aljazeera.com,https://www.facebook.com/topic/Nikol-Pashinyan/112145495468070?source=whfrt&position=1006&trqid=6553366625238313216&impressionguid=0BdohRbqQFMVka6KP,6,0,2018-05-08T19:09:39.939379
Politics,Scott Pruitt,White House aides telling Trump to fire Pruitt: report,thehill.com,https://www.facebook.com/topic/Scott-Pruitt/137241299688053?source=whfrt&position=1007&trqid=6553366625238313216&impressionguid=0BdohRbqQFMVka6KP,7,0,2018-05-08T19:09:39.939379
Politics,Cyberwarfare by Russia,"Report: Russians Posed as ISIS Hackers, Threatened U.S.…",thedailybeast.com,https://www.facebook.com/topic/Cyberwarfare-by-Russia/111818422168340?source=whfrt&position=1008&trqid=6553366625238313216&impressionguid=0BdohRbqQFMVka6KP,8,0,2018-05-08T19:09:39.939379
Politics,Patrick J. Conroy,Father Patrick Conroy sworn back in as House chaplain,msn.com,https://www.facebook.com/topic/Patrick-J-Conroy/124652437579549?source=whfrt&position=1009&trqid=6553366625238313216&impressionguid=0BdohRbqQFMVka6KP,9,0,2018-05-08T19:09:39.939379
Politics,Doug Ford Jr.,Doug Ford campaign confirms actors were hired to play the part of PC…,msn.com,https://www.facebook.com/topic/Doug-Ford-Jr/105607439473127?source=whfrt&position=1010&trqid=6553366625238313216&impressionguid=0BdohRbqQFMVka6KP,10,0,2018-05-08T19:09:39.939379
Science and Technology,Android P,Android blatantly copies the iPhone X navigation gestures,social.techcrunch.com,https://www.facebook.com/topic/Android-P/112145925469595?source=whfrt&position=3001&trqid=6553366629635301404&impressionguid=0GbbazFK0E0i0s3LM,1,0,2018-05-08T19:09:43.742075
Science and Technology,Uber,Uber reveals its latest ‘flying car’ prototype for aerial taxi service,msn.com,https://www.facebook.com/topic/Uber/176794885724034?source=whfrt&position=3002&trqid=6553366629635301404&impressionguid=0GbbazFK0E0i0s3LM,2,0,2018-05-08T19:09:43.742075
Science and Technology,Google I/O,Google I/O 2018: Watch the keynote live right here,androidauthority.com,https://www.facebook.com/topic/Google-IO/412198698862630?source=whfrt&position=3003&trqid=6553366629635301404&impressionguid=0GbbazFK0E0i0s3LM,3,0,2018-05-08T19:09:43.742075
Science and Technology,Facebook,Facebook undergoes a huge executive reshuffle,social.techcrunch.com,https://www.facebook.com/topic/Facebook/254174568100078?source=whfrt&position=3004&trqid=6553366629635301404&impressionguid=0GbbazFK0E0i0s3LM,4,0,2018-05-08T19:09:43.742075
Science and Technology,Nintendo Switch,Nintendo is finally giving players control over their game saves,cnet.com,https://www.facebook.com/topic/Nintendo-Switch/1236474786425077?source=whfrt&position=3005&trqid=6553366629635301404&impressionguid=0GbbazFK0E0i0s3LM,5,0,2018-05-08T19:09:43.742075
Science and Technology,Microsoft,Microsoft Is Integrating Windows 10 with Your Phone,uk.news.yahoo.com,https://www.facebook.com/topic/Microsoft/410090409075523?source=whfrt&position=3006&trqid=6553366629635301404&impressionguid=0GbbazFK0E0i0s3LM,6,0,2018-05-08T19:09:43.742075
Science and Technology,Google Lens,Google Lens gets integrated into the camera app,cnet.com,https://www.facebook.com/topic/Google-Lens/136016036574138?source=whfrt&position=3007&trqid=6553366629635301404&impressionguid=0GbbazFK0E0i0s3LM,7,0,2018-05-08T19:09:43.742075
Science and Technology,Cyberwarfare by Russia,"Report: Russians Posed as ISIS Hackers, Threatened U.S. Military Wives",thedailybeast.com,https://www.facebook.com/topic/Cyberwarfare-by-Russia/111818422168340?source=whfrt&position=3008&trqid=6553366629635301404&impressionguid=0GbbazFK0E0i0s3LM,8,0,2018-05-08T19:09:43.742075
Science and Technology,Ireland,Facebook Bans Foreign Advertisers for Ireland Abortion Referendum,nytimes.com,https://www.facebook.com/topic/Ireland/1454186178172239?source=whfrt&position=3009&trqid=6553366629635301404&impressionguid=0GbbazFK0E0i0s3LM,9,0,2018-05-08T19:09:43.742075
Science and Technology,Gboard,Google adds Morse code input to Gboard,social.techcrunch.com,https://www.facebook.com/topic/Gboard/1634821950167456?source=whfrt&position=3010&trqid=6553366629635301404&impressionguid=0GbbazFK0E0i0s3LM,10,0,2018-05-08T19:09:43.742075
Sports,Matt Harvey,MLB Trade: Mets ship Matt Harvey to Reds in exchange for Devin Mesoraco,cbssports.com,https://www.facebook.com/topic/Matt-Harvey/169890506388904?source=whfrt&position=4001&trqid=6553366629594566323&impressionguid=0Tee56VdWQdkZJC4e,1,0,2018-05-08T19:09:47.676973
Sports,Ohio State Buckeyes Football,"Ohio State QB Joe Burrow announces transfer: Three things to know, possible destinations",cbssports.com,https://www.facebook.com/topic/Ohio-State-Buckeyes-Football/105544726146813?source=whfrt&position=4002&trqid=6553366629594566323&impressionguid=0Tee56VdWQdkZJC4e,2,0,2018-05-08T19:09:47.676973
Sports,New York Yankees vs. Boston Red Sox,The Yankees-Red Sox rivalry is back: The Red Sox perspective,sbnation.com,https://www.facebook.com/topic/New-York-Yankees-vs-Boston-Red-Sox/113224035357723?source=whfrt&position=4003&trqid=6553366629594566323&impressionguid=0Tee56VdWQdkZJC4e,3,0,2018-05-08T19:09:47.676973
Sports,Dana White,Dana White: UFC Working on Georges St-Pierre vs. Nate Diaz Fight,bleacherreport.com,https://www.facebook.com/topic/Dana-White/107711482584963?source=whfrt&position=4004&trqid=6553366629594566323&impressionguid=0Tee56VdWQdkZJC4e,4,0,2018-05-08T19:09:47.676973
