Type,Interval,Average,Min,Max,Standard Deviation,,,,Top Trends,Politics,Science/Tech,Sports,Entertainment
Top Trends,5,0.583934203,0.181818182,1,0.764155876,,,5,0.58,0.87,0.89,0.87,0.85
Top Trends,10,0.364850835,0.083333333,0.666666667,0.604028837,,,10,0.36,0.81,0.81,0.81,0.77
Top Trends,15,0.465579875,0.181818182,0.818181818,0.682334137,,,15,0.47,0.74,0.80,0.74,0.73
Top Trends,20,0.309848485,0.083333333,1,0.556640355,,,20,0.31,0.69,0.75,0.75,0.68
Top Trends,25,0.435042735,0.266666667,0.666666667,0.659577694,,,25,0.44,0.69,0.72,0.73,0.73
Top Trends,30,0.262608225,0.181818182,0.428571429,0.512453144,,,30,0.26,0.60,0.68,0.65,0.65
Top Trends,35,0.438186813,0.357142857,0.538461538,0.661956806,,,35,0.44,0.61,0.72,0.65,0.67
Top Trends,40,0.197727273,0,0.5,0.444665349,,,40,0.20,0.54,0.68,0.65,0.54
Top Trends,45,0.288690476,0.1875,0.428571429,0.537299243,,,45,0.29,0.46,0.58,0.58,0.58
Top Trends,50,0.21010101,0.181818182,0.266666667,0.458367767,,,50,0.21,0.49,0.56,0.60,0.54
Top Trends,55,0.311111111,0.266666667,0.333333333,0.557773351,,,55,0.31,0.42,0.54,0.58,0.44
Top Trends,60,0.224242424,0.181818182,0.266666667,0.473542421,,,60,0.22,0.42,0.39,0.54,0.54
Politics,5,0.867201426,0.666666667,1,0.931236504,,,,,,,,
Politics,10,0.805547394,0.428571429,1,0.897522921,,,,,,,,
Politics,15,0.735295008,0.428571429,1,0.857493445,,,,,,,,
Politics,20,0.688519814,0.333333333,1,0.82977094,,,,,,,,
Politics,25,0.691919192,0.333333333,1,0.831816802,,,,,,,,
Politics,30,0.604662005,0.333333333,0.818181818,0.777600157,,,,,,,,
Politics,35,0.607142857,0.333333333,1,0.779193722,,,,,,,,
Politics,40,0.536276224,0.25,0.818181818,0.732308831,,,,,,,,
Politics,45,0.460532931,0.176470588,0.666666667,0.678625767,,,,,,,,
Politics,50,0.485042735,0.25,0.666666667,0.696450095,,,,,,,,
Politics,55,0.416666667,0.25,0.666666667,0.645497224,,,,,,,,
Politics,60,0.421568627,0.176470588,0.666666667,0.649283164,,,,,,,,
Science/Tech,5,0.886603592,0.538461538,1,0.9415963,,,,,,,,
Science/Tech,10,0.807075278,0.538461538,1,0.898373685,,,,,,,,
Science/Tech,15,0.803136258,0.538461538,1,0.896178697,,,,,,,,
Science/Tech,20,0.752039627,0.538461538,1,0.867202183,,,,,,,,
Science/Tech,25,0.721056721,0.538461538,0.818181818,0.849150588,,,,,,,,
Science/Tech,30,0.675990676,0.538461538,0.818181818,0.822186521,,,,,,,,
Science/Tech,35,0.717948718,0.538461538,1,0.847318546,,,,,,,,
Science/Tech,40,0.678321678,0.538461538,0.818181818,0.823602864,,,,,,,,
Science/Tech,45,0.581196581,0.538461538,0.666666667,0.7623625,,,,,,,,
Science/Tech,50,0.555555556,0.333333333,0.666666667,0.745355992,,,,,,,,
Science/Tech,55,0.535547786,0.25,0.818181818,0.731811305,,,,,,,,
Science/Tech,60,0.394230769,0.25,0.538461538,0.627877989,,,,,,,,
Sports,5,0.869875223,0.666666667,1,0.932671015,,,,,,,,
Sports,10,0.814616756,0.666666667,1,0.90256122,,,,,,,,
Sports,15,0.742530197,0.538461538,1,0.861701919,,,,,,,,
Sports,20,0.752039627,0.538461538,1,0.867202183,,,,,,,,
Sports,25,0.733044733,0.428571429,1,0.856180316,,,,,,,,
Sports,30,0.654012654,0.428571429,0.818181818,0.808710488,,,,,,,,
Sports,35,0.645021645,0.428571429,0.818181818,0.803132396,,,,,,,,
Sports,40,0.650849151,0.428571429,0.818181818,0.806752224,,,,,,,,
Sports,45,0.581196581,0.538461538,0.666666667,0.7623625,,,,,,,,
Sports,50,0.595071595,0.428571429,0.818181818,0.771408838,,,,,,,,
Sports,55,0.581196581,0.538461538,0.666666667,0.7623625,,,,,,,,
Sports,60,0.538461538,0.538461538,0.538461538,0.733799386,,,,,,,,
Entertainment,5,0.854518031,0.538461538,1,0.924401445,,,,,,,,
Entertainment,10,0.769230769,0.538461538,1,0.877058019,,,,,,,,
Entertainment,15,0.731510913,0.538461538,1,0.855284113,,,,,,,,
Entertainment,20,0.678103147,0.25,1,0.823470186,,,,,,,,
Entertainment,25,0.72999223,0.538461538,1,0.854395827,,,,,,,,
Entertainment,30,0.645687646,0.538461538,0.818181818,0.803546916,,,,,,,,
Entertainment,35,0.672494172,0.538461538,0.818181818,0.82005742,,,,,,,,
Entertainment,40,0.536276224,0.25,0.818181818,0.732308831,,,,,,,,
Entertainment,45,0.581196581,0.538461538,0.666666667,0.7623625,,,,,,,,
Entertainment,50,0.544566545,0.428571429,0.666666667,0.737947522,,,,,,,,
Entertainment,55,0.442307692,0.25,0.538461538,0.665062172,,,,,,,,
Entertainment,60,0.538461538,0.538461538,0.538461538,0.733799386,,,,,,,,
