Type,Interval,New Trends,,,,,Top Trends,Politics,Science/Tech,Sports,Entertainment
Top Trends,5,73,,,,5,73,41,33,38,39
Top Trends,10,73,,,,10,73,41,32,37,38
Top Trends,15,70,,,,15,70,40,33,37,38
Top Trends,20,68,,,,20,68,39,32,35,38
Top Trends,25,65,,,,25,65,40,33,37,37
Top Trends,30,65,,,,30,65,40,32,35,37
Top Trends,35,63,,,,35,63,37,33,33,38
Top Trends,40,60,,,,40,60,37,32,35,37
Top Trends,45,60,,,,45,60,36,30,34,36
Top Trends,50,58,,,,50,58,37,30,35,37
Top Trends,55,57,,,,55,57,36,30,33,35
Top Trends,60,58,,,,60,58,37,30,34,36
Politics,5,41,,,,,,,,,
Politics,10,41,,,,,,,,,
Politics,15,40,,,,,,,,,
Politics,20,39,,,,,,,,,
Politics,25,40,,,,,,,,,
Politics,30,40,,,,,,,,,
Politics,35,37,,,,,,,,,
Politics,40,37,,,,,,,,,
Politics,45,36,,,,,,,,,
Politics,50,37,,,,,,,,,
Politics,55,36,,,,,,,,,
Politics,60,37,,,,,,,,,
Science/Tech,5,33,,,,,,,,,
Science/Tech,10,32,,,,,,,,,
Science/Tech,15,33,,,,,,,,,
Science/Tech,20,32,,,,,,,,,
Science/Tech,25,33,,,,,,,,,
Science/Tech,30,32,,,,,,,,,
Science/Tech,35,33,,,,,,,,,
Science/Tech,40,32,,,,,,,,,
Science/Tech,45,30,,,,,,,,,
Science/Tech,50,30,,,,,,,,,
Science/Tech,55,30,,,,,,,,,
Science/Tech,60,30,,,,,,,,,
Sports,5,38,,,,,,,,,
Sports,10,37,,,,,,,,,
Sports,15,37,,,,,,,,,
Sports,20,35,,,,,,,,,
Sports,25,37,,,,,,,,,
Sports,30,35,,,,,,,,,
Sports,35,33,,,,,,,,,
Sports,40,35,,,,,,,,,
Sports,45,34,,,,,,,,,
Sports,50,35,,,,,,,,,
Sports,55,33,,,,,,,,,
Sports,60,34,,,,,,,,,
Entertainment,5,39,,,,,,,,,
Entertainment,10,38,,,,,,,,,
Entertainment,15,38,,,,,,,,,
Entertainment,20,38,,,,,,,,,
Entertainment,25,37,,,,,,,,,
Entertainment,30,37,,,,,,,,,
Entertainment,35,38,,,,,,,,,
Entertainment,40,37,,,,,,,,,
Entertainment,45,36,,,,,,,,,
Entertainment,50,37,,,,,,,,,
Entertainment,55,35,,,,,,,,,
Entertainment,60,36,,,,,,,,,
