name,interval,avg,min,max,standard deviation,,,,,
trends_24hr(3-25-18),1,0.803088578,0.181818182,1,0.896152095,Top Trends,Politics,Science/Tech,Sports,Entertainment
trends_24hr(3-25-18),1,0.969030969,0,1,0.984393706,0.803088578,0.969030969,0.937562438,0.926469364,0.800491175
trends_24hr(3-25-18),1,0.937562438,0,1,0.968278079,,,,,
trends_24hr(3-25-18),1,0.926469364,0,1,0.962532786,,,,,
trends_24hr(3-25-18),1,0.800491175,0,1,0.894701724,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,Top Trends,,,,,,,,
,,Politics,,,,,,,,
,,Science/Tech,,,,,,,,
,,Sports,,,,,,,,
,,Entertainment,,,,,,,,
