Topic,Interval,Avg,Min,Max,Standard Deviation,,,,,,,,
Top Trends,5,0.771026682,0.181818182,1,0.87808125,,,,Top Trends,Politics,Science/Tech,Sports,Entertainment
Top Trends,10,0.67951049,0.083333333,1,0.824324262,,,5,0.77,0.93,0.93,0.94,0.81
Top Trends,15,0.617196721,0.083333333,1,0.785618687,,,10,0.68,0.90,0.90,0.92,0.76
Top Trends,20,0.570689496,0.181818182,1,0.755439935,,,15,0.62,0.89,0.88,0.86,0.62
Top Trends,25,0.540293614,0.083333333,1,0.735046675,,,20,0.57,0.87,0.88,0.88,0.69
Top Trends,30,0.552632437,0.083333333,1,0.743392519,,,25,0.54,0.85,0.82,0.85,0.65
Top Trends,35,0.504391137,0.083333333,1,0.710204997,,,30,0.55,0.83,0.84,0.82,0.65
Top Trends,40,0.482347745,0.083333333,1,0.694512595,,,35,0.50,0.78,0.80,0.88,0.71
Top Trends,45,0.4765625,0.083333333,1,0.690335064,,,40,0.48,0.78,0.80,0.77,0.57
Top Trends,50,0.478760894,0.083333333,0.818181818,0.691925498,,,45,0.48,0.77,0.83,0.86,0.64
Top Trends,55,0.559239478,0.2,0.818181818,0.74782316,,,50,0.48,0.78,0.77,0.79,0.48
Top Trends,60,0.381854257,0,1,0.617943571,,,55,0.56,0.75,0.82,0.83,0.76
Politics,5,0.934812038,0,1,0.966856783,,,60,0.38,0.73,0.79,0.74,0.60
Politics,10,0.903866249,0,1,0.950718806,,,,,,,,
Politics,15,0.892533583,0.666666667,1,0.944739955,,,,,,,,
Politics,20,0.865740741,0.666666667,1,0.930451901,,,,,,,,
Politics,25,0.847841813,0.538461538,1,0.920783261,,,,,,,,
Politics,30,0.827505828,0.538461538,1,0.909673473,,,,,,,,
Politics,35,0.775712093,0,1,0.880745192,,,,,,,,
Politics,40,0.783929034,0.538461538,1,0.88539767,,,,,,,,
Politics,45,0.77031302,0.428571429,1,0.87767478,,,,,,,,
Politics,50,0.775178844,0.538461538,1,0.880442414,,,,,,,,
Politics,55,0.754335408,0.428571429,1,0.868524846,,,,,,,,
Politics,60,0.726787102,0.538461538,1,0.852518095,,,,,,,,
Science/Tech,5,0.925648235,0,1,0.962106145,,,,,,,,
Science/Tech,10,0.900104493,0,1,0.948738369,,,,,,,,
Science/Tech,15,0.8815995,0,1,0.938935301,,,,,,,,
Science/Tech,20,0.882996633,0,1,0.939679005,,,,,,,,
Science/Tech,25,0.819106181,0,1,0.90504485,,,,,,,,
Science/Tech,30,0.837752525,0,1,0.91528822,,,,,,,,
Science/Tech,35,0.80305873,0,1,0.896135442,,,,,,,,
Science/Tech,40,0.803030303,0,1,0.896119581,,,,,,,,
Science/Tech,45,0.827432984,0.538461538,1,0.909633434,,,,,,,,
Science/Tech,50,0.774053533,0,1,0.879803122,,,,,,,,
Science/Tech,55,0.815312892,0.538461538,1,0.902946783,,,,,,,,
Science/Tech,60,0.791666667,0.666666667,1,0.889756521,,,,,,,,
Sports,5,0.936478184,0,1,0.967718029,,,,,,,,
Sports,10,0.92137288,0,1,0.959881701,,,,,,,,
Sports,15,0.860980943,0,1,0.927890588,,,,,,,,
Sports,20,0.877428127,0,1,0.936711336,,,,,,,,
Sports,25,0.846796881,0,1,0.920215671,,,,,,,,
Sports,30,0.824834887,0,1,0.90820421,,,,,,,,
Sports,35,0.883051907,0.538461538,1,0.939708416,,,,,,,,
Sports,40,0.772338772,0,1,0.878828068,,,,,,,,
Sports,45,0.864874709,0.538461538,1,0.929986402,,,,,,,,
Sports,50,0.792380034,0,1,0.890157308,,,,,,,,
Sports,55,0.832526448,0.538461538,1,0.912428873,,,,,,,,
Sports,60,0.73989899,0,1,0.860173814,,,,,,,,
Entertainment,5,0.812246173,0,1,0.90124701,,,,,,,,
Entertainment,10,0.755799373,0,1,0.869367226,,,,,,,,
Entertainment,15,0.619493908,0,1,0.787079353,,,,,,,,
Entertainment,20,0.686026936,0,1,0.82826743,,,,,,,,
Entertainment,25,0.652298851,0,1,0.807650203,,,,,,,,
Entertainment,30,0.646464646,0,1,0.804030252,,,,,,,,
Entertainment,35,0.708624709,0,1,0.841798496,,,,,,,,
Entertainment,40,0.574721575,0,1,0.758103934,,,,,,,,
Entertainment,45,0.638257576,0,1,0.798910243,,,,,,,,
Entertainment,50,0.483321276,0,1,0.695213116,,,,,,,,
Entertainment,55,0.757575758,0,1,0.87038828,,,,,,,,
Entertainment,60,0.598533411,0,1,0.773649411,,,,,,,,
