Type,Interval,New Trends,,,Top Trends,Politics,Science/Tech,Sports,Entertainment
Top Trends,5,46,,5,46,25,6,29,24
Top Trends,10,44,,10,44,25,6,29,24
Top Trends,15,40,,15,40,24,6,27,23
Top Trends,20,42,,20,42,25,6,28,24
Top Trends,25,36,,25,36,23,6,26,23
Top Trends,30,36,,30,36,24,6,27,22
Top Trends,35,35,,35,35,25,6,27,23
Top Trends,40,34,,40,34,24,6,26,24
Top Trends,45,34,,45,34,22,6,26,21
Top Trends,50,31,,50,31,23,6,23,21
Top Trends,55,31,,55,31,23,6,25,22
Top Trends,60,29,,60,29,20,6,24,20
Politics,5,25,,,,,,,
Politics,10,25,,,,,,,
Politics,15,24,,,,,,,
Politics,20,25,,,,,,,
Politics,25,23,,,,,,,
Politics,30,24,,,,,,,
Politics,35,25,,,,,,,
Politics,40,24,,,,,,,
Politics,45,22,,,,,,,
Politics,50,23,,,,,,,
Politics,55,23,,,,,,,
Politics,60,20,,,,,,,
Science/Tech,5,6,,,,,,,
Science/Tech,10,6,,,,,,,
Science/Tech,15,6,,,,,,,
Science/Tech,20,6,,,,,,,
Science/Tech,25,6,,,,,,,
Science/Tech,30,6,,,,,,,
Science/Tech,35,6,,,,,,,
Science/Tech,40,6,,,,,,,
Science/Tech,45,6,,,,,,,
Science/Tech,50,6,,,,,,,
Science/Tech,55,6,,,,,,,
Science/Tech,60,6,,,,,,,
Sports,5,29,,,,,,,
Sports,10,29,,,,,,,
Sports,15,27,,,,,,,
Sports,20,28,,,,,,,
Sports,25,26,,,,,,,
Sports,30,27,,,,,,,
Sports,35,27,,,,,,,
Sports,40,26,,,,,,,
Sports,45,26,,,,,,,
Sports,50,23,,,,,,,
Sports,55,25,,,,,,,
Sports,60,24,,,,,,,
Entertainment,5,24,,,,,,,
Entertainment,10,24,,,,,,,
Entertainment,15,23,,,,,,,
Entertainment,20,24,,,,,,,
Entertainment,25,23,,,,,,,
Entertainment,30,22,,,,,,,
Entertainment,35,23,,,,,,,
Entertainment,40,24,,,,,,,
Entertainment,45,21,,,,,,,
Entertainment,50,21,,,,,,,
Entertainment,55,22,,,,,,,
Entertainment,60,20,,,,,,,
