Topic,Interval,Avg,Min,Max,Standard Deviation
Top Trends,5,0.830377955,0.538461538,1,0.911250764
Top Trends,10,0.734253841,0.428571429,1,0.856886131
Top Trends,15,0.695804196,0.333333333,1,0.834148785
Top Trends,20,0.613648257,0.428571429,1,0.783357043
Top Trends,25,0.566766567,0.428571429,0.666666667,0.752839005
Top Trends,30,0.51973952,0.333333333,0.666666667,0.720929622
Top Trends,35,0.528846154,0.333333333,0.666666667,0.727218092
Top Trends,40,0.462061748,0.333333333,0.538461538,0.67975124
Top Trends,45,0.403693529,0.25,0.538461538,0.635368813
Top Trends,50,0.354761905,0.25,0.428571429,0.595618926
Top Trends,55,0.373809524,0.25,0.428571429,0.611399643
Top Trends,60,0.342948718,0.25,0.538461538,0.585618236
Politics,5,0.922619048,0.666666667,1,0.960530607
Politics,10,0.861471861,0.666666667,1,0.928155085
Politics,15,0.819476819,0.538461538,1,0.90524959
Politics,20,0.780885781,0.538461538,1,0.883677419
Politics,25,0.719855902,0.538461538,1,0.848443222
Politics,30,0.731120731,0.428571429,1,0.855055981
Politics,35,0.679195804,0.538461538,1,0.824133366
Politics,40,0.665667666,0.333333333,0.818181818,0.815884591
Politics,45,0.656121656,0.428571429,0.818181818,0.810013368
Politics,50,0.516483516,0.428571429,0.538461538,0.718667876
Politics,55,0.593406593,0.428571429,0.666666667,0.770328887
Politics,60,0.607142857,0.428571429,0.666666667,0.779193722
Science/Tech,5,0.96875,0.666666667,1,0.984250984
Science/Tech,10,0.9375,0.666666667,1,0.968245837
Science/Tech,15,0.902777778,0.666666667,1,0.950146188
Science/Tech,20,0.886904762,0.5,1,0.941756212
Science/Tech,25,0.840909091,0.666666667,1,0.917010955
Science/Tech,30,0.805555556,0.666666667,1,0.897527468
Science/Tech,35,0.802083333,0.5,1,0.895591053
Science/Tech,40,0.773809524,0.5,1,0.879664438
Science/Tech,45,0.736111111,0.5,1,0.857969178
Science/Tech,50,0.733333333,0.5,1,0.856348839
Science/Tech,55,0.683333333,0.5,1,0.826639785
Science/Tech,60,0.6875,0.5,1,0.829156198
Sports,5,0.906926407,0.666666667,1,0.952326838
Sports,10,0.83008658,0.666666667,1,0.911090874
Sports,15,0.819476819,0.538461538,1,0.90524959
Sports,20,0.760905761,0.538461538,1,0.872299124
Sports,25,0.716011261,0.428571429,0.818181818,0.846174486
Sports,30,0.674436674,0.538461538,0.818181818,0.821240936
Sports,35,0.645646021,0.428571429,0.818181818,0.803521014
Sports,40,0.622377622,0.333333333,0.818181818,0.788909134
Sports,45,0.584249084,0.428571429,0.666666667,0.76436188
Sports,50,0.58974359,0.538461538,0.666666667,0.767947648
Sports,55,0.535714286,0.25,0.666666667,0.731925055
Sports,60,0.470924908,0.25,0.666666667,0.686239687
Entertainment,5,0.934217172,0.8,1,0.966549105
Entertainment,10,0.88466811,0.666666667,1,0.940567972
Entertainment,15,0.841362341,0.538461538,1,0.917258056
Entertainment,20,0.812920413,0.538461538,1,0.901620992
Entertainment,25,0.763478945,0.428571429,1,0.873772822
Entertainment,30,0.763532764,0.538461538,1,0.873803618
Entertainment,35,0.726398601,0.538461538,0.818181818,0.85229021
Entertainment,40,0.66999667,0.538461538,0.818181818,0.818533243
Entertainment,45,0.665584416,0.357142857,0.818181818,0.815833571
Entertainment,50,0.649350649,0.428571429,0.818181818,0.805822964
Entertainment,55,0.609423909,0.357142857,0.818181818,0.780656076
Entertainment,60,0.612970363,0.428571429,0.818181818,0.782924238
