Topic,Interval,Avg,Min,Max,Standard Deviation,,,,,,,,,
Top Trends,5,0.785834049,0.538461538,1,0.886472813,,,,,Top Trends,Politics,Science/Tech,Sports,Entertainment
Top Trends,10,0.674622996,0.428571429,1,0.821354367,,,,5,0.79,0.85,0.82,0.75,0.80
Top Trends,15,0.584165834,0.25,1,0.764307421,,,,10,0.67,0.74,0.67,0.57,0.63
Top Trends,20,0.543260311,0.25,0.818181818,0.737061945,,,,15,0.58,0.74,0.78,0.62,0.71
Top Trends,25,0.483970575,0.333333333,0.818181818,0.695679937,,,,20,0.54,0.69,0.60,0.50,0.58
Top Trends,30,0.435434935,0.25,0.818181818,0.659874939,,,,25,0.48,0.51,0.46,0.46,0.59
Top Trends,35,0.461309524,0.25,0.666666667,0.679197706,,,,30,0.44,0.64,0.61,0.42,0.51
Top Trends,40,0.367139163,0.176470588,0.666666667,0.605920097,,,,35,0.46,0.59,0.63,0.48,0.50
Top Trends,45,0.323062558,0,0.666666667,0.568385924,,,,40,0.37,0.55,0.61,0.40,0.59
Top Trends,50,0.351960784,0.176470588,0.666666667,0.593262829,,,,45,0.32,0.48,0.59,0.39,0.55
Top Trends,55,0.33015873,0.111111111,0.666666667,0.574594405,,,,50,0.35,0.42,0.35,0.36,0.45
Top Trends,60,0.238051057,0.052631579,0.538461538,0.487904762,,,,55,0.33,0.49,0.57,0.31,0.50
Politics,5,0.849265939,0,1,0.921556259,,,,60,0.24,0.45,0.44,0.29,0.48
Politics,10,0.738832596,0,1,0.859553719,,,,,,,,,
Politics,15,0.738559686,0.333333333,1,0.859394953,,,,,,,,,
Politics,20,0.691641692,0.333333333,1,0.831649981,,,,,,,,,
Politics,25,0.511813944,0,1,0.71541173,,,,,,,,,
Politics,30,0.639434639,0.333333333,0.818181818,0.799646572,,,,,,,,,
Politics,35,0.594363969,0.333333333,0.818181818,0.770950043,,,,,,,,,
Politics,40,0.554814233,0.25,0.666666667,0.744858532,,,,,,,,,
Politics,45,0.48423472,0.176470588,0.666666667,0.695869758,,,,,,,,,
Politics,50,0.415384615,0,0.666666667,0.644503387,,,,,,,,,
Politics,55,0.488095238,0.25,0.666666667,0.698638131,,,,,,,,,
Politics,60,0.452542555,0.176470588,0.666666667,0.672712833,,,,,,,,,
Science/Tech,5,0.819245082,0,1,0.905121584,,,,,,,,,
Science/Tech,10,0.665084915,0,1,0.815527385,,,,,,,,,
Science/Tech,15,0.776837198,0.538461538,1,0.881383684,,,,,,,,,
Science/Tech,20,0.596023025,0,1,0.772025275,,,,,,,,,
Science/Tech,25,0.462325553,0,0.818181818,0.679945258,,,,,,,,,
Science/Tech,30,0.612683613,0.428571429,1,0.782741089,,,,,,,,,
Science/Tech,35,0.632783883,0.333333333,1,0.795477142,,,,,,,,,
Science/Tech,40,0.61047286,0.25,1,0.781327627,,,,,,,,,
Science/Tech,45,0.591186591,0.333333333,1,0.768886592,,,,,,,,,
Science/Tech,50,0.354761905,0,0.666666667,0.595618926,,,,,,,,,
Science/Tech,55,0.571428571,0.333333333,1,0.755928946,,,,,,,,,
Science/Tech,60,0.439139292,0.176470588,0.818181818,0.662675857,,,,,,,,,
Sports,5,0.754958492,0,1,0.868883474,,,,,,,,,
Sports,10,0.574211503,0,1,0.757767446,,,,,,,,,
Sports,15,0.618364092,0,1,0.786361299,,,,,,,,,
Sports,20,0.499304267,0,0.818181818,0.706614653,,,,,,,,,
Sports,25,0.455332546,0,1,0.674783333,,,,,,,,,
Sports,30,0.422198172,0,0.818181818,0.649767783,,,,,,,,,
Sports,35,0.476604278,0,1,0.690365322,,,,,,,,,
Sports,40,0.397762135,0.111111111,0.818181818,0.630683863,,,,,,,,,
Sports,45,0.38963161,0.176470588,0.818181818,0.624204782,,,,,,,,,
Sports,50,0.36021756,0,0.818181818,0.600181273,,,,,,,,,
Sports,55,0.30751634,0.111111111,0.666666667,0.554541558,,,,,,,,,
Sports,60,0.286442208,0.052631579,0.666666667,0.53520296,,,,,,,,,
Entertainment,5,0.797165992,0,1,0.892841527,,,,,,,,,
Entertainment,10,0.627963703,0,1,0.792441609,,,,,,,,,
Entertainment,15,0.707397865,0,1,0.841069477,,,,,,,,,
Entertainment,20,0.578897293,0,0.818181818,0.760853004,,,,,,,,,
Entertainment,25,0.592437865,0,1,0.769699854,,,,,,,,,
Entertainment,30,0.505235505,0,1,0.710799202,,,,,,,,,
Entertainment,35,0.502245304,0,1,0.708692672,,,,,,,,,
Entertainment,40,0.594310451,0.333333333,0.818181818,0.770915334,,,,,,,,,
Entertainment,45,0.549169784,0.176470588,0.818181818,0.741059906,,,,,,,,,
Entertainment,50,0.452525253,0,0.818181818,0.672699972,,,,,,,,,
Entertainment,55,0.503692386,0.176470588,0.818181818,0.70971289,,,,,,,,,
Entertainment,60,0.478354978,0.333333333,0.818181818,0.691632112,,,,,,,,,
