Type,Interval,New Trends,,,,,,,,
Top Trends,5,83,,,,Top Trends,Politics,Science/Tech,Sports,Entertainment
Top Trends,10,70,,,5,83,53,43,34,42
Top Trends,15,64,,,10,70,49,41,32,42
Top Trends,20,55,,,15,64,45,40,33,41
Top Trends,25,52,,,20,55,43,38,30,40
Top Trends,30,50,,,25,52,40,38,32,41
Top Trends,35,47,,,30,50,40,37,31,40
Top Trends,40,40,,,35,47,39,36,29,37
Top Trends,45,41,,,40,40,36,33,27,34
Top Trends,50,42,,,45,41,37,35,28,37
Top Trends,55,35,,,50,42,37,37,30,36
Top Trends,60,34,,,55,35,31,32,25,31
Politics,5,53,,,60,34,31,31,26,30
Politics,10,49,,,,,,,,
Politics,15,45,,,,,,,,
Politics,20,43,,,,,,,,
Politics,25,40,,,,,,,,
Politics,30,40,,,,,,,,
Politics,35,39,,,,,,,,
Politics,40,36,,,,,,,,
Politics,45,37,,,,,,,,
Politics,50,37,,,,,,,,
Politics,55,31,,,,,,,,
Politics,60,31,,,,,,,,
Science/Tech,5,43,,,,,,,,
Science/Tech,10,41,,,,,,,,
Science/Tech,15,40,,,,,,,,
Science/Tech,20,38,,,,,,,,
Science/Tech,25,38,,,,,,,,
Science/Tech,30,37,,,,,,,,
Science/Tech,35,36,,,,,,,,
Science/Tech,40,33,,,,,,,,
Science/Tech,45,35,,,,,,,,
Science/Tech,50,37,,,,,,,,
Science/Tech,55,32,,,,,,,,
Science/Tech,60,31,,,,,,,,
Sports,5,34,,,,,,,,
Sports,10,32,,,,,,,,
Sports,15,33,,,,,,,,
Sports,20,30,,,,,,,,
Sports,25,32,,,,,,,,
Sports,30,31,,,,,,,,
Sports,35,29,,,,,,,,
Sports,40,27,,,,,,,,
Sports,45,28,,,,,,,,
Sports,50,30,,,,,,,,
Sports,55,25,,,,,,,,
Sports,60,26,,,,,,,,
Entertainment,5,42,,,,,,,,
Entertainment,10,42,,,,,,,,
Entertainment,15,41,,,,,,,,
Entertainment,20,40,,,,,,,,
Entertainment,25,41,,,,,,,,
Entertainment,30,40,,,,,,,,
Entertainment,35,37,,,,,,,,
Entertainment,40,34,,,,,,,,
Entertainment,45,37,,,,,,,,
Entertainment,50,36,,,,,,,,
Entertainment,55,31,,,,,,,,
Entertainment,60,30,,,,,,,,
