Topic,Interval,Avg,Min,Max,Standard Deviation,,,,,,,
Top Trends,5,0.621413533,0.25,1,0.788297871,,,Top Trends,Politics,Science/Tech,Sports,Entertainment
Top Trends,10,0.493919588,0.071428571,1,0.702794129,,5,0.62,0.76,0.79,0.63,0.66
Top Trends,15,0.392563603,0,0.818181818,0.626548963,,10,0.49,0.66,0.71,0.53,0.55
Top Trends,20,0.34302952,0,0.666666667,0.58568722,,15,0.39,0.58,0.68,0.65,0.63
Top Trends,25,0.29522792,0,0.538461538,0.543348802,,20,0.34,0.48,0.61,0.41,0.32
Top Trends,30,0.25982906,0,0.538461538,0.509734303,,25,0.30,0.45,0.52,0.31,0.23
Top Trends,35,0.179038282,0,0.428571429,0.423129155,,30,0.26,0.42,0.52,0.48,0.40
Top Trends,40,0.238310709,0,0.538461538,0.488170778,,35,0.18,0.37,0.45,0.42,0.37
Top Trends,45,0.153651116,0.034482759,0.25,0.391983565,,40,0.24,0.30,0.46,0.35,0.29
Top Trends,50,0.131864623,0.034482759,0.25,0.363131689,,45,0.15,0.25,0.37,0.32,0.23
Top Trends,55,0.166666667,0,0.333333333,0.40824829,,50,0.13,0.25,0.30,0.10,0.04
Top Trends,60,0.214285714,0,0.428571429,0.46291005,,55,0.17,0.29,0.33,0.25,0.20
Politics,5,0.759805786,0.2,1,0.871668392,,60,0.21,0.30,0.41,0.25,0.29
Politics,10,0.65994006,0.153846154,1,0.812366949,,,,,,,
Politics,15,0.580550822,0.153846154,1,0.761938857,,,,,,,
Politics,20,0.483766234,0.071428571,0.818181818,0.695533057,,,,,,,
Politics,25,0.452297702,0.071428571,0.818181818,0.672530819,,,,,,,
Politics,30,0.423709624,0,0.818181818,0.650929815,,,,,,,
Politics,35,0.365763547,0.034482759,0.666666667,0.604783884,,,,,,,
Politics,40,0.302092543,0.034482759,0.538461538,0.54962946,,,,,,,
Politics,45,0.246031746,0.071428571,0.333333333,0.496015873,,,,,,,
Politics,50,0.25,0.071428571,0.428571429,0.5,,,,,,,
Politics,55,0.286472149,0.034482759,0.538461538,0.53523093,,,,,,,
Politics,60,0.304945055,0.071428571,0.538461538,0.552218304,,,,,,,
Science/Tech,5,0.787653207,0,1,0.887498286,,,,,,,
Science/Tech,10,0.70975136,0.25,1,0.842467424,,,,,,,
Science/Tech,15,0.678055278,0.153846154,1,0.82344112,,,,,,,
Science/Tech,20,0.607567036,0.111111111,1,0.779465866,,,,,,,
Science/Tech,25,0.524031524,0.153846154,0.818181818,0.723900217,,,,,,,
Science/Tech,30,0.515917416,0.071428571,0.818181818,0.718273914,,,,,,,
Science/Tech,35,0.454924386,0.034482759,0.818181818,0.674480827,,,,,,,
Science/Tech,40,0.463708705,0.034482759,0.818181818,0.680961603,,,,,,,
Science/Tech,45,0.370468612,0.034482759,0.538461538,0.608661328,,,,,,,
Science/Tech,50,0.302092543,0.034482759,0.538461538,0.54962946,,,,,,,
Science/Tech,55,0.333333333,0,0.666666667,0.577350269,,,,,,,
Science/Tech,60,0.409090909,0,0.818181818,0.639602149,,,,,,,
Sports,5,0.626893221,0,1,0.791765888,,,,,,,
Sports,10,0.526892454,0,1,0.72587358,,,,,,,
Sports,15,0.654069264,0.428571429,0.818181818,0.808745488,,,,,,,
Sports,20,0.414038343,0,0.666666667,0.643458113,,,,,,,
Sports,25,0.305555556,0,0.538461538,0.552770798,,,,,,,
Sports,30,0.478554779,0.333333333,0.636363636,0.691776538,,,,,,,
Sports,35,0.420214138,0.176470588,0.583333333,0.64823926,,,,,,,
Sports,40,0.353846154,0.25,0.461538462,0.59484969,,,,,,,
Sports,45,0.324404762,0.1875,0.5,0.569565415,,,,,,,
Sports,50,0.095238095,0,0.285714286,0.3086067,,,,,,,
Sports,55,0.246969697,0.227272727,0.266666667,0.496960458,,,,,,,
Sports,60,0.246969697,0.227272727,0.266666667,0.496960458,,,,,,,
Entertainment,5,0.656177156,0,1,0.810047626,,,,,,,
Entertainment,10,0.546753247,0,1,0.739427648,,,,,,,
Entertainment,15,0.634911465,0.260869565,1,0.796813319,,,,,,,
Entertainment,20,0.322594073,0,0.818181818,0.567973655,,,,,,,
Entertainment,25,0.226017943,0,0.428571429,0.475413445,,,,,,,
Entertainment,30,0.398289456,0.176470588,0.818181818,0.631101779,,,,,,,
Entertainment,35,0.369545455,0.16,0.818181818,0.607902504,,,,,,,
Entertainment,40,0.291644042,0.16,0.538461538,0.540040778,,,,,,,
Entertainment,45,0.232905983,0.115384615,0.333333333,0.482603339,,,,,,,
Entertainment,50,0.038461538,0,0.115384615,0.196116135,,,,,,,
Entertainment,55,0.203703704,0.074074074,0.333333333,0.451335467,,,,,,,
Entertainment,60,0.287087912,0.035714286,0.538461538,0.535805853,,,,,,,
