Overall Unique Articles,,,,,,,,,
6601,,,,,,,,,
Unique Articles Per Topic,,,,,,,,,
Top Trends,3109,,,,,,,,
Politics,2242,,,,,,,,
Science and Technology,509,,,,,,,,
Sports,459,,,,,,,,
Entertainment,493,,,,,,,,
Overall,6601,,,,,,,,
News Source,# of Articles,,,,,,,,
MSN,356,,,,,,,,
CNN,272,,,,,,,,
The Hill,202,,,,,,,,
Fox News,199,,,,,,,,
The New York Times,198,,,,,,,,
Reuters,190,,,,,,,,
USA TODAY,163,,,,,,,,
CBS News,137,,,,,,,,
NBC News,127,,,,,,,,
HuffPost,126,,,,,,,,
Washington Post,124,,,,,,,,
BBC News,106,,,,,,,,
Business Insider,104,,,,,,,,
Yahoo,104,,,,,,,,
People,103,,,,,,,,
Ranking Per Topic,,,,,,,,,
Top Trends,Total per News Source,Politcs,Total per News Source2,Science/Tech,Ranking3,Sports,Total per News Source4,Entertainment,Total per News Source3
MSN,163,MSN,124,MSN,23,The New York Times,24,ESPN,27
CNN,121,CNN,122,CNN,21,MSN,24,USA TODAY,25
Fox News,108,The Hill,115,Reuters,21,TechCrunch,20,MSN,22
The New York Times,104,Reuters,88,ABC News,13,Engadget,16,Bleacher Report,21
USA TODAY,80,CBS News,75,Al Jazeera English,13,ESPN,14,New York Post,12
People,75,Fox News,68,Fox News,12,Reuters,13,CBS Sports,11
HuffPost,73,The New York Times,56,The Guardian,11,Business Insider,10,E! News,11
BBC News,71,Washington Post,55,Washington Post,11,Washington Post,10,BBC News,10
Reuters,68,NBC News,54,NBC News,10,The Guardian,10,Daily Mail,8
The Hill,68,POLITICO,48,Business Insider,9,Bleacher Report,8,Fox News,8
NBC News,56,USA TODAY,46,NPR,9,USA TODAY,8,Bloomberg,8
Yahoo,53,ABC News,44,The Hill,9,CBS Sports,8,Washington Post,8
CBS News,52,Yahoo,42,TechCrunch,8,The Hill,8,Deadline Hollywood,8
CBS Sports,50,HuffPost,39,The Independent,8,Yahoo Sports,7,Boston.com,8
CNBC,48,Business Insider,37,The Verge,8,CNNMoney,7,The Independent,7
Politics,,,,,,,,,
MSN,124,,,,,,,,
CNN,122,,,,,,,,
The Hill,115,,,,,,,,
Reuters,88,,,,,,,,
CBS News,75,,,,,,,,
Fox News,68,,,,,,,,
The New York Times,56,,,,,,,,
Washington Post,55,,,,,,,,
NBC News,54,,,,,,,,
POLITICO,48,,,,,,,,
USA TODAY,46,,,,,,,,
ABC News,44,,,,,,,,
Yahoo,42,,,,,,,,
HuffPost,39,,,,,,,,
Business Insider,37,,,,,,,,
Science and Technology,,,,,,,,,
MSN,23,,,,,,,,
CNN,21,,,,,,,,
Reuters,21,,,,,,,,
ABC News,13,,,,,,,,
Al Jazeera English,13,,,,,,,,
Fox News,12,,,,,,,,
The Guardian,11,,,,,,,,
Washington Post,11,,,,,,,,
NBC News,10,,,,,,,,
Business Insider,9,,,,,,,,
NPR,9,,,,,,,,
The Hill,9,,,,,,,,
TechCrunch,8,,,,,,,,
The Independent,8,,,,,,,,
The Verge,8,,,,,,,,
Sports,,,,,,,,,
The New York Times,24,,,,,,,,
MSN,24,,,,,,,,
TechCrunch,20,,,,,,,,
Engadget,16,,,,,,,,
ESPN,14,,,,,,,,
Reuters,13,,,,,,,,
Business Insider,10,,,,,,,,
Washington Post,10,,,,,,,,
The Guardian,10,,,,,,,,
Bleacher Report,8,,,,,,,,
USA TODAY,8,,,,,,,,
CBS Sports,8,,,,,,,,
The Hill,8,,,,,,,,
Yahoo Sports,7,,,,,,,,
CNNMoney,7,,,,,,,,
Entertainment,,,,,,,,,
ESPN,27,,,,,,,,
USA TODAY,25,,,,,,,,
MSN,22,,,,,,,,
Bleacher Report,21,,,,,,,,
New York Post,12,,,,,,,,
CBS Sports,11,,,,,,,,
E! News,11,,,,,,,,
BBC News,10,,,,,,,,
Daily Mail,8,,,,,,,,
Fox News,8,,,,,,,,
Bloomberg,8,,,,,,,,
Washington Post,8,,,,,,,,
Deadline Hollywood,8,,,,,,,,
Boston.com,8,,,,,,,,
The Independent,7,,,,,,,,
